No iterations: 1999
Time (s), Position 1 (m), Velocity 1 (m s-1), Acceleration 1 (m s-2), Position 2 (m), Velocity 2 (m s-1), Acceleration 2 (m s-2)
0, 1, -1,0,2, 1,0
0.001, 0.999, -0.999984,0.0394763,2.001, 0.999984,-0.0394756
0.002, 0.998, -0.999928,0.0789542,2.002, 0.999928,-0.0789527
0.003, 0.997, -0.999832,0.118427,2.003, 0.999832,-0.118427
0.004, 0.996, -0.999697,0.157901,2.004, 0.999697,-0.157902
0.005, 0.995001, -0.999523,0.197362,2.005, 0.999523,-0.197361
0.006, 0.994001, -0.999309,0.236816,2.006, 0.999309,-0.236816
0.007, 0.993002, -0.999056,0.276264,2.007, 0.999056,-0.276263
0.008, 0.992003, -0.998763,0.315702,2.008, 0.998763,-0.315701
0.009, 0.991005, -0.998431,0.355129,2.009, 0.998431,-0.355129
0.01, 0.990006, -0.99806,0.394538,2.00999, 0.99806,-0.394539
0.011, 0.989008, -0.997649,0.433931,2.01099, 0.997649,-0.43393
0.012, 0.988011, -0.997198,0.473311,2.01199, 0.997198,-0.473311
0.013, 0.987014, -0.996709,0.512671,2.01299, 0.996709,-0.512672
0.014, 0.986017, -0.99618,0.552009,2.01398, 0.99618,-0.552008
0.015, 0.985021, -0.995611,0.591327,2.01498, 0.995611,-0.591325
0.016, 0.984026, -0.995003,0.630621,2.01597, 0.995003,-0.630621
0.017, 0.983031, -0.994356,0.669895,2.01697, 0.994356,-0.669897
0.018, 0.982037, -0.99367,0.709139,2.01796, 0.99367,-0.709139
0.019, 0.981044, -0.992945,0.748354,2.01896, 0.992945,-0.748352
0.02, 0.980051, -0.99218,0.787543,2.01995, 0.99218,-0.787544
0.021, 0.979059, -0.991376,0.826699,2.02094, 0.991376,-0.826699
0.022, 0.978068, -0.990533,0.865826,2.02193, 0.990533,-0.865827
0.023, 0.977078, -0.989651,0.904916,2.02292, 0.989651,-0.904916
0.024, 0.976089, -0.98873,0.943968,2.02391, 0.98873,-0.943968
0.025, 0.975101, -0.98777,0.982984,2.0249, 0.98777,-0.982983
0.026, 0.974113, -0.98677,1.02197,2.02589, 0.98677,-1.02197
0.027, 0.973127, -0.985732,1.06091,2.02687, 0.985732,-1.06091
0.028, 0.972142, -0.984655,1.0998,2.02786, 0.984655,-1.0998
0.029, 0.971157, -0.983539,1.13865,2.02884, 0.983539,-1.13865
0.03, 0.970174, -0.982384,1.17746,2.02983, 0.982384,-1.17746
0.031, 0.969193, -0.981191,1.21623,2.03081, 0.981191,-1.21623
0.032, 0.968212, -0.979958,1.25494,2.03179, 0.979958,-1.25494
0.033, 0.967232, -0.978687,1.29361,2.03277, 0.978687,-1.29361
0.034, 0.966254, -0.977378,1.33223,2.03375, 0.977378,-1.33223
0.035, 0.965277, -0.976029,1.37079,2.03472, 0.976029,-1.37079
0.036, 0.964302, -0.974642,1.4093,2.0357, 0.974642,-1.4093
0.037, 0.963328, -0.973217,1.44775,2.03667, 0.973217,-1.44776
0.038, 0.962355, -0.971753,1.48615,2.03764, 0.971753,-1.48615
0.039, 0.961384, -0.970251,1.52449,2.03862, 0.970251,-1.52449
0.04, 0.960415, -0.968711,1.56277,2.03959, 0.968711,-1.56277
0.041, 0.959447, -0.967132,1.60098,2.04055, 0.967132,-1.60098
0.042, 0.95848, -0.965515,1.63914,2.04152, 0.965515,-1.63914
0.043, 0.957515, -0.96386,1.67723,2.04248, 0.96386,-1.67723
0.044, 0.956552, -0.962167,1.71525,2.04345, 0.962167,-1.71526
0.045, 0.955591, -0.960436,1.75321,2.04441, 0.960436,-1.75321
0.046, 0.954631, -0.958667,1.7911,2.04537, 0.958667,-1.79109
0.047, 0.953673, -0.95686,1.82891,2.04633, 0.95686,-1.82891
0.048, 0.952717, -0.955015,1.86666,2.04728, 0.955015,-1.86666
0.049, 0.951763, -0.953133,1.90433,2.04824, 0.953133,-1.90433
0.05, 0.95081, -0.951213,1.94193,2.04919, 0.951213,-1.94193
0.051, 0.94986, -0.949256,1.97945,2.05014, 0.949256,-1.97945
0.052, 0.948912, -0.947261,2.01689,2.05109, 0.947261,-2.01689
0.053, 0.947965, -0.945228,2.05425,2.05203, 0.945228,-2.05425
0.054, 0.947021, -0.943158,2.09154,2.05298, 0.943158,-2.09154
0.055, 0.946079, -0.941051,2.12873,2.05392, 0.941051,-2.12873
0.056, 0.945138, -0.938907,2.16585,2.05486, 0.938907,-2.16585
0.057, 0.9442, -0.936726,2.20288,2.0558, 0.936726,-2.20288
0.058, 0.943265, -0.934507,2.23983,2.05674, 0.934507,-2.23983
0.059, 0.942331, -0.932252,2.27668,2.05767, 0.932252,-2.27668
0.06, 0.9414, -0.92996,2.31345,2.0586, 0.92996,-2.31345
0.061, 0.940471, -0.927632,2.35012,2.05953, 0.927632,-2.35012
0.062, 0.939544, -0.925266,2.38671,2.06046, 0.925266,-2.38671
0.063, 0.93862, -0.922864,2.42319,2.06138, 0.922864,-2.42319
0.064, 0.937698, -0.920426,2.45959,2.0623, 0.920426,-2.45959
0.065, 0.936779, -0.917951,2.49588,2.06322, 0.917951,-2.49588
0.066, 0.935862, -0.91544,2.53208,2.06414, 0.91544,-2.53208
0.067, 0.934947, -0.912893,2.56818,2.06505, 0.912893,-2.56818
0.068, 0.934035, -0.91031,2.60418,2.06596, 0.91031,-2.60418
0.069, 0.933126, -0.907691,2.64007,2.06687, 0.907691,-2.64007
0.07, 0.93222, -0.905036,2.67586,2.06778, 0.905036,-2.67587
0.071, 0.931316, -0.902345,2.71155,2.06868, 0.902345,-2.71155
0.072, 0.930414, -0.899619,2.74713,2.06959, 0.899619,-2.74713
0.073, 0.929516, -0.896857,2.78259,2.07048, 0.896857,-2.78259
0.074, 0.92862, -0.894059,2.81796,2.07138, 0.894059,-2.81796
0.075, 0.927727, -0.891227,2.85321,2.07227, 0.891227,-2.85321
0.076, 0.926837, -0.888359,2.88834,2.07316, 0.888359,-2.88834
0.077, 0.92595, -0.885456,2.92337,2.07405, 0.885456,-2.92337
0.078, 0.925066, -0.882518,2.95828,2.07493, 0.882518,-2.95828
0.079, 0.924185, -0.879545,2.99306,2.07582, 0.879545,-2.99306
0.08, 0.923306, -0.876538,3.02774,2.07669, 0.876538,-3.02774
0.081, 0.922431, -0.873496,3.06229,2.07757, 0.873496,-3.06229
0.082, 0.921559, -0.870419,3.09673,2.07844, 0.870419,-3.09673
0.083, 0.92069, -0.867308,3.13104,2.07931, 0.867308,-3.13104
0.084, 0.919824, -0.864163,3.16523,2.08018, 0.864163,-3.16523
0.085, 0.918961, -0.860983,3.19929,2.08104, 0.860983,-3.19929
0.086, 0.918101, -0.85777,3.23323,2.0819, 0.85777,-3.23323
0.087, 0.917245, -0.854522,3.26704,2.08276, 0.854522,-3.26704
0.088, 0.916392, -0.851241,3.30072,2.08361, 0.851241,-3.30072
0.089, 0.915542, -0.847927,3.33427,2.08446, 0.847927,-3.33427
0.09, 0.914695, -0.844578,3.36769,2.0853, 0.844578,-3.36769
0.091, 0.913852, -0.841197,3.40098,2.08615, 0.841197,-3.40098
0.092, 0.913012, -0.837782,3.43413,2.08699, 0.837782,-3.43413
0.093, 0.912176, -0.834334,3.46715,2.08782, 0.834334,-3.46715
0.094, 0.911343, -0.830853,3.50003,2.08866, 0.830853,-3.50003
0.095, 0.910514, -0.82734,3.53277,2.08949, 0.82734,-3.53277
0.096, 0.909688, -0.823793,3.56538,2.09031, 0.823793,-3.56537
0.097, 0.908866, -0.820214,3.59784,2.09113, 0.820214,-3.59784
0.098, 0.908047, -0.816603,3.63016,2.09195, 0.816603,-3.63016
0.099, 0.907232, -0.812959,3.66234,2.09277, 0.812959,-3.66234
0.1, 0.90642, -0.809284,3.69437,2.09358, 0.809284,-3.69437
0.101, 0.905613, -0.805576,3.72626,2.09439, 0.805576,-3.72626
0.102, 0.904809, -0.801837,3.758,2.09519, 0.801837,-3.758
0.103, 0.904008, -0.798065,3.7896,2.09599, 0.798065,-3.7896
0.104, 0.903212, -0.794263,3.82104,2.09679, 0.794263,-3.82104
0.105, 0.902419, -0.790429,3.85233,2.09758, 0.790429,-3.85233
0.106, 0.90163, -0.786563,3.88348,2.09837, 0.786563,-3.88348
0.107, 0.900845, -0.782667,3.91446,2.09915, 0.782667,-3.91446
0.108, 0.900064, -0.77874,3.9453,2.09994, 0.77874,-3.9453
0.109, 0.899287, -0.774782,3.97597,2.10071, 0.774782,-3.97597
0.11, 0.898514, -0.770793,4.0065,2.10149, 0.770793,-4.0065
0.111, 0.897745, -0.766774,4.03686,2.10225, 0.766774,-4.03686
0.112, 0.89698, -0.762724,4.06706,2.10302, 0.762724,-4.06706
0.113, 0.896219, -0.758645,4.09711,2.10378, 0.758645,-4.09711
0.114, 0.895462, -0.754535,4.12699,2.10454, 0.754535,-4.12699
0.115, 0.894709, -0.750396,4.15671,2.10529, 0.750396,-4.15671
0.116, 0.893961, -0.746227,4.18627,2.10604, 0.746227,-4.18626
0.117, 0.893216, -0.742028,4.21566,2.10678, 0.742028,-4.21566
0.118, 0.892476, -0.7378,4.24488,2.10752, 0.7378,-4.24488
0.119, 0.89174, -0.733543,4.27394,2.10826, 0.733543,-4.27394
0.12, 0.891008, -0.729257,4.30283,2.10899, 0.729257,-4.30283
0.121, 0.890281, -0.724942,4.33155,2.10972, 0.724942,-4.33155
0.122, 0.889557, -0.720599,4.3601,2.11044, 0.720599,-4.3601
0.123, 0.888839, -0.716227,4.38847,2.11116, 0.716227,-4.38847
0.124, 0.888124, -0.711827,4.41668,2.11188, 0.711827,-4.41668
0.125, 0.887414, -0.707398,4.44471,2.11259, 0.707398,-4.44471
0.126, 0.886709, -0.702942,4.47256,2.11329, 0.702942,-4.47256
0.127, 0.886008, -0.698458,4.50024,2.11399, 0.698458,-4.50023
0.128, 0.885311, -0.693946,4.52774,2.11469, 0.693946,-4.52774
0.129, 0.884619, -0.689407,4.55506,2.11538, 0.689407,-4.55506
0.13, 0.883932, -0.684841,4.5822,2.11607, 0.684841,-4.5822
0.131, 0.883249, -0.680247,4.60916,2.11675, 0.680247,-4.60916
0.132, 0.88257, -0.675627,4.63594,2.11743, 0.675627,-4.63594
0.133, 0.881897, -0.67098,4.66254,2.1181, 0.67098,-4.66254
0.134, 0.881228, -0.666307,4.68895,2.11877, 0.666307,-4.68895
0.135, 0.880563, -0.661607,4.71517,2.11944, 0.661607,-4.71517
0.136, 0.879904, -0.656881,4.74122,2.1201, 0.656881,-4.74122
0.137, 0.879249, -0.652129,4.76707,2.12075, 0.652129,-4.76707
0.138, 0.878599, -0.647351,4.79274,2.1214, 0.647351,-4.79274
0.139, 0.877953, -0.642547,4.81821,2.12205, 0.642547,-4.81821
0.14, 0.877313, -0.637719,4.8435,2.12269, 0.637719,-4.8435
0.141, 0.876677, -0.632865,4.8686,2.12332, 0.632865,-4.8686
0.142, 0.876046, -0.627986,4.8935,2.12395, 0.627986,-4.8935
0.143, 0.87542, -0.623082,4.91822,2.12458, 0.623082,-4.91822
0.144, 0.874799, -0.618154,4.94273,2.1252, 0.618154,-4.94273
0.145, 0.874183, -0.613201,4.96705,2.12582, 0.613201,-4.96705
0.146, 0.873572, -0.608224,4.99118,2.12643, 0.608224,-4.99118
0.147, 0.872966, -0.603222,5.01511,2.12703, 0.603222,-5.01511
0.148, 0.872365, -0.598197,5.03884,2.12764, 0.598197,-5.03884
0.149, 0.871769, -0.593149,5.06237,2.12823, 0.593149,-5.06238
0.15, 0.871178, -0.588077,5.08571,2.12882, 0.588077,-5.08571
0.151, 0.870592, -0.582981,5.10884,2.12941, 0.582981,-5.10884
0.152, 0.870011, -0.577863,5.13177,2.12999, 0.577863,-5.13177
0.153, 0.869435, -0.572722,5.1545,2.13056, 0.572722,-5.1545
0.154, 0.868864, -0.567558,5.17702,2.13114, 0.567558,-5.17702
0.155, 0.868299, -0.562371,5.19935,2.1317, 0.562371,-5.19935
0.156, 0.867739, -0.557163,5.22146,2.13226, 0.557163,-5.22146
0.157, 0.867184, -0.551932,5.24337,2.13282, 0.551932,-5.24337
0.158, 0.866634, -0.54668,5.26507,2.13337, 0.54668,-5.26507
0.159, 0.86609, -0.541406,5.28657,2.13391, 0.541406,-5.28657
0.16, 0.86555, -0.53611,5.30786,2.13445, 0.53611,-5.30785
0.161, 0.865017, -0.530794,5.32894,2.13498, 0.530794,-5.32894
0.162, 0.864488, -0.525456,5.3498,2.13551, 0.525456,-5.3498
0.163, 0.863965, -0.520098,5.37046,2.13604, 0.520098,-5.37045
0.164, 0.863447, -0.514719,5.3909,2.13655, 0.514719,-5.3909
0.165, 0.862934, -0.509319,5.41113,2.13707, 0.509319,-5.41113
0.166, 0.862427, -0.5039,5.43115,2.13757, 0.5039,-5.43115
0.167, 0.861926, -0.49846,5.45096,2.13807, 0.49846,-5.45096
0.168, 0.86143, -0.493001,5.47054,2.13857, 0.493001,-5.47055
0.169, 0.860939, -0.487523,5.48992,2.13906, 0.487523,-5.48992
0.17, 0.860454, -0.482025,5.50907,2.13955, 0.482025,-5.50907
0.171, 0.859974, -0.476508,5.52801,2.14003, 0.476508,-5.52801
0.172, 0.8595, -0.470972,5.54673,2.1405, 0.470972,-5.54673
0.173, 0.859031, -0.465417,5.56523,2.14097, 0.465417,-5.56523
0.174, 0.858568, -0.459845,5.58351,2.14143, 0.459845,-5.58351
0.175, 0.85811, -0.454253,5.60158,2.14189, 0.454253,-5.60158
0.176, 0.857658, -0.448644,5.61942,2.14234, 0.448644,-5.61942
0.177, 0.857212, -0.443018,5.63704,2.14279, 0.443018,-5.63704
0.178, 0.856771, -0.437373,5.65444,2.14323, 0.437373,-5.65444
0.179, 0.856336, -0.431712,5.67161,2.14366, 0.431712,-5.67161
0.18, 0.855907, -0.426033,5.68856,2.14409, 0.426033,-5.68856
0.181, 0.855483, -0.420338,5.70528,2.14452, 0.420338,-5.70528
0.182, 0.855066, -0.414625,5.72178,2.14493, 0.414625,-5.72178
0.183, 0.854653, -0.408897,5.73806,2.14535, 0.408897,-5.73806
0.184, 0.854247, -0.403152,5.75411,2.14575, 0.403152,-5.75411
0.185, 0.853846, -0.397391,5.76993,2.14615, 0.397391,-5.76993
0.186, 0.853451, -0.391615,5.78552,2.14655, 0.391615,-5.78552
0.187, 0.853062, -0.385823,5.80089,2.14694, 0.385823,-5.80088
0.188, 0.852678, -0.380016,5.81602,2.14732, 0.380016,-5.81603
0.189, 0.852301, -0.374194,5.83093,2.1477, 0.374194,-5.83093
0.19, 0.851929, -0.368356,5.84561,2.14807, 0.368356,-5.84561
0.191, 0.851563, -0.362505,5.86005,2.14844, 0.362505,-5.86005
0.192, 0.851203, -0.356639,5.87427,2.1488, 0.356639,-5.87427
0.193, 0.850849, -0.350759,5.88825,2.14915, 0.350759,-5.88825
0.194, 0.850501, -0.344865,5.902,2.1495, 0.344865,-5.902
0.195, 0.850158, -0.338957,5.91552,2.14984, 0.338957,-5.91552
0.196, 0.849822, -0.333036,5.9288,2.15018, 0.333036,-5.9288
0.197, 0.849491, -0.327102,5.94185,2.15051, 0.327102,-5.94185
0.198, 0.849167, -0.321155,5.95467,2.15083, 0.321155,-5.95467
0.199, 0.848848, -0.315195,5.96725,2.15115, 0.315195,-5.96725
0.2, 0.848535, -0.309222,5.9796,2.15146, 0.309222,-5.9796
0.201, 0.848228, -0.303238,5.9917,2.15177, 0.303238,-5.9917
0.202, 0.847928, -0.297241,6.00358,2.15207, 0.297241,-6.00358
0.203, 0.847633, -0.291233,6.01521,2.15237, 0.291233,-6.01521
0.204, 0.847344, -0.285213,6.02661,2.15266, 0.285213,-6.02661
0.205, 0.847061, -0.279181,6.03777,2.15294, 0.279181,-6.03777
0.206, 0.846785, -0.273139,6.04869,2.15322, 0.273139,-6.04869
0.207, 0.846514, -0.267086,6.05938,2.15349, 0.267086,-6.05938
0.208, 0.84625, -0.261022,6.06982,2.15375, 0.261022,-6.06982
0.209, 0.845991, -0.254948,6.08003,2.15401, 0.254948,-6.08003
0.21, 0.845739, -0.248864,6.08999,2.15426, 0.248864,-6.08999
0.211, 0.845492, -0.24277,6.09972,2.15451, 0.24277,-6.09972
0.212, 0.845252, -0.236666,6.1092,2.15475, 0.236666,-6.1092
0.213, 0.845018, -0.230553,6.11844,2.15498, 0.230553,-6.11844
0.214, 0.84479, -0.224431,6.12744,2.15521, 0.224431,-6.12744
0.215, 0.844568, -0.2183,6.1362,2.15543, 0.2183,-6.1362
0.216, 0.844352, -0.21216,6.14472,2.15565, 0.21216,-6.14472
0.217, 0.844143, -0.206012,6.15299,2.15586, 0.206012,-6.15299
0.218, 0.843939, -0.199855,6.16103,2.15606, 0.199855,-6.16103
0.219, 0.843742, -0.193691,6.16881,2.15626, 0.193691,-6.16881
0.22, 0.843551, -0.187519,6.17636,2.15645, 0.187519,-6.17636
0.221, 0.843366, -0.18134,6.18366,2.15663, 0.18134,-6.18366
0.222, 0.843187, -0.175153,6.19072,2.15681, 0.175153,-6.19072
0.223, 0.843015, -0.16896,6.19753,2.15699, 0.16896,-6.19753
0.224, 0.842848, -0.162759,6.2041,2.15715, 0.162759,-6.2041
0.225, 0.842688, -0.156552,6.21042,2.15731, 0.156552,-6.21043
0.226, 0.842534, -0.15034,6.2165,2.15747, 0.15034,-6.2165
0.227, 0.842386, -0.144121,6.22233,2.15761, 0.144121,-6.22233
0.228, 0.842245, -0.137896,6.22792,2.15776, 0.137896,-6.22792
0.229, 0.84211, -0.131666,6.23326,2.15789, 0.131666,-6.23326
0.23, 0.841981, -0.12543,6.23836,2.15802, 0.12543,-6.23836
0.231, 0.841858, -0.11919,6.24321,2.15814, 0.11919,-6.24321
0.232, 0.841741, -0.112945,6.24781,2.15826, 0.112945,-6.24781
0.233, 0.841631, -0.106695,6.25217,2.15837, 0.106695,-6.25217
0.234, 0.841527, -0.100441,6.25627,2.15847, 0.100441,-6.25627
0.235, 0.841429, -0.0941834,6.26014,2.15857, 0.0941834,-6.26013
0.236, 0.841337, -0.0879218,6.26375,2.15866, 0.0879217,-6.26375
0.237, 0.841252, -0.0816566,6.26712,2.15875, 0.0816566,-6.26712
0.238, 0.841173, -0.0753881,6.27024,2.15883, 0.0753881,-6.27024
0.239, 0.8411, -0.0691167,6.27311,2.1589, 0.0691167,-6.27311
0.24, 0.841034, -0.0628425,6.27574,2.15897, 0.0628425,-6.27574
0.241, 0.840973, -0.0565657,6.27812,2.15903, 0.0565657,-6.27812
0.242, 0.840919, -0.0502867,6.28025,2.15908, 0.0502867,-6.28025
0.243, 0.840872, -0.0440057,6.28213,2.15913, 0.0440057,-6.28213
0.244, 0.84083, -0.0377229,6.28376,2.15917, 0.0377229,-6.28376
0.245, 0.840795, -0.0314385,6.28515,2.1592, 0.0314385,-6.28515
0.246, 0.840767, -0.0251529,6.28629,2.15923, 0.0251529,-6.28629
0.247, 0.840744, -0.0188662,6.28718,2.15926, 0.0188662,-6.28717
0.248, 0.840728, -0.0125787,6.28782,2.15927, 0.0125787,-6.28781
0.249, 0.840718, -0.00629075,6.28821,2.15928, 0.00629074,-6.28821
0.25, 0.840714, -2.46407e-06,6.28835,2.15929, 2.46045e-06,-6.28835
0.251, 0.840717, 0.00628586,6.28825,2.15928, -0.00628586,-6.28825
0.252, 0.840726, 0.012574,6.2879,2.15927, -0.012574,-6.2879
0.253, 0.840741, 0.0188616,6.2873,2.15926, -0.0188616,-6.2873
0.254, 0.840762, 0.0251486,6.28645,2.15924, -0.0251486,-6.28645
0.255, 0.84079, 0.0314346,6.28536,2.15921, -0.0314346,-6.28536
0.256, 0.840824, 0.0377194,6.28401,2.15918, -0.0377194,-6.28401
0.257, 0.840864, 0.0440028,6.28242,2.15914, -0.0440028,-6.28242
0.258, 0.840911, 0.0502844,6.28058,2.15909, -0.0502844,-6.28058
0.259, 0.840964, 0.0565642,6.27849,2.15904, -0.0565642,-6.27849
0.26, 0.841023, 0.0628417,6.27615,2.15898, -0.0628417,-6.27615
0.261, 0.841089, 0.0691168,6.27357,2.15891, -0.0691168,-6.27357
0.262, 0.84116, 0.0753892,6.27074,2.15884, -0.0753892,-6.27074
0.263, 0.841238, 0.0816587,6.26766,2.15876, -0.0816587,-6.26766
0.264, 0.841323, 0.0879249,6.26433,2.15868, -0.0879249,-6.26433
0.265, 0.841413, 0.0941878,6.26076,2.15859, -0.0941878,-6.26076
0.266, 0.84151, 0.100447,6.25694,2.15849, -0.100447,-6.25693
0.267, 0.841613, 0.106702,6.25287,2.15839, -0.106702,-6.25287
0.268, 0.841722, 0.112953,6.24855,2.15828, -0.112953,-6.24856
0.269, 0.841838, 0.1192,6.24399,2.15816, -0.1192,-6.24399
0.27, 0.84196, 0.125442,6.23918,2.15804, -0.125442,-6.23918
0.271, 0.842088, 0.131679,6.23413,2.15791, -0.131679,-6.23413
0.272, 0.842222, 0.137911,6.22883,2.15778, -0.137911,-6.22883
0.273, 0.842362, 0.144138,6.22328,2.15764, -0.144138,-6.22328
0.274, 0.842509, 0.150358,6.21749,2.15749, -0.150358,-6.21748
0.275, 0.842662, 0.156573,6.21145,2.15734, -0.156573,-6.21145
0.276, 0.842821, 0.162782,6.20516,2.15718, -0.162782,-6.20516
0.277, 0.842987, 0.168985,6.19864,2.15701, -0.168985,-6.19864
0.278, 0.843158, 0.175181,6.19186,2.15684, -0.175181,-6.19186
0.279, 0.843336, 0.181369,6.18484,2.15666, -0.181369,-6.18484
0.28, 0.84352, 0.187551,6.17758,2.15648, -0.187551,-6.17759
0.281, 0.84371, 0.193726,6.17008,2.15629, -0.193726,-6.17008
0.282, 0.843906, 0.199893,6.16233,2.15609, -0.199893,-6.16233
0.283, 0.844109, 0.206052,6.15434,2.15589, -0.206052,-6.15434
0.284, 0.844317, 0.212203,6.1461,2.15568, -0.212203,-6.1461
0.285, 0.844532, 0.218345,6.13762,2.15547, -0.218345,-6.13762
0.286, 0.844753, 0.224479,6.1289,2.15525, -0.224479,-6.1289
0.287, 0.84498, 0.230604,6.11994,2.15502, -0.230604,-6.11994
0.288, 0.845213, 0.23672,6.11073,2.15479, -0.23672,-6.11073
0.289, 0.845453, 0.242827,6.10129,2.15455, -0.242827,-6.10129
0.29, 0.845698, 0.248924,6.0916,2.1543, -0.248924,-6.0916
0.291, 0.845949, 0.255012,6.08167,2.15405, -0.255012,-6.08167
0.292, 0.846207, 0.261089,6.07151,2.15379, -0.261089,-6.07151
0.293, 0.846471, 0.267157,6.0611,2.15353, -0.267157,-6.0611
0.294, 0.84674, 0.273213,6.05045,2.15326, -0.273213,-6.05045
0.295, 0.847016, 0.279259,6.03957,2.15298, -0.279259,-6.03956
0.296, 0.847298, 0.285294,6.02844,2.1527, -0.285294,-6.02845
0.297, 0.847586, 0.291318,6.01708,2.15241, -0.291318,-6.01708
0.298, 0.847879, 0.29733,6.00548,2.15212, -0.29733,-6.00548
0.299, 0.848179, 0.303331,5.99365,2.15182, -0.303331,-5.99365
0.3, 0.848485, 0.309319,5.98157,2.15151, -0.309319,-5.98157
0.301, 0.848797, 0.315296,5.96926,2.1512, -0.315296,-5.96926
0.302, 0.849115, 0.32126,5.95671,2.15089, -0.32126,-5.95671
0.303, 0.849438, 0.327211,5.94393,2.15056, -0.327211,-5.94393
0.304, 0.849768, 0.33315,5.93092,2.15023, -0.33315,-5.93092
0.305, 0.850104, 0.339075,5.91767,2.1499, -0.339075,-5.91767
0.306, 0.850445, 0.344987,5.90418,2.14955, -0.344987,-5.90418
0.307, 0.850793, 0.350886,5.89047,2.14921, -0.350886,-5.89047
0.308, 0.851146, 0.35677,5.87652,2.14885, -0.35677,-5.87652
0.309, 0.851505, 0.362641,5.86234,2.14849, -0.362641,-5.86234
0.31, 0.85187, 0.368497,5.84793,2.14813, -0.368497,-5.84793
0.311, 0.852241, 0.374339,5.83328,2.14776, -0.374339,-5.83328
0.312, 0.852618, 0.380166,5.81841,2.14738, -0.380166,-5.81841
0.313, 0.853001, 0.385978,5.8033,2.147, -0.385978,-5.8033
0.314, 0.853389, 0.391775,5.78797,2.14661, -0.391775,-5.78797
0.315, 0.853783, 0.397557,5.77241,2.14622, -0.397557,-5.77241
0.316, 0.854183, 0.403323,5.75662,2.14582, -0.403323,-5.75662
0.317, 0.854589, 0.409073,5.7406,2.14541, -0.409073,-5.7406
0.318, 0.855, 0.414806,5.72436,2.145, -0.414806,-5.72436
0.319, 0.855418, 0.420524,5.70789,2.14458, -0.420524,-5.70789
0.32, 0.85584, 0.426225,5.69119,2.14416, -0.426225,-5.69119
0.321, 0.856269, 0.431909,5.67427,2.14373, -0.431909,-5.67428
0.322, 0.856703, 0.437576,5.65713,2.1433, -0.437576,-5.65713
0.323, 0.857143, 0.443226,5.63976,2.14286, -0.443226,-5.63976
0.324, 0.857589, 0.448859,5.62217,2.14241, -0.448859,-5.62217
0.325, 0.85804, 0.454473,5.60436,2.14196, -0.454473,-5.60436
0.326, 0.858497, 0.46007,5.58632,2.1415, -0.46007,-5.58633
0.327, 0.858959, 0.465649,5.56807,2.14104, -0.465649,-5.56807
0.328, 0.859427, 0.471209,5.54959,2.14057, -0.471209,-5.54959
0.329, 0.859901, 0.476751,5.5309,2.1401, -0.476751,-5.5309
0.33, 0.86038, 0.482274,5.51199,2.13962, -0.482274,-5.51199
0.331, 0.860864, 0.487778,5.49286,2.13914, -0.487778,-5.49286
0.332, 0.861354, 0.493263,5.47351,2.13865, -0.493263,-5.47351
