time,position,velocity,acceleration
0.01,0,0,0
0.02,0,0,0
0.03,3.16202e-322,5.04658e-310,-2.05227e-289
0.04,3.16202e-321,0,1.03754e-322
0.05,2.7223e-321,0,0
0.06,3.95253e-323,0,0
0.07,0,0,-4.77831e-299
0.08,5.04658e-310,0,0
0.09,2.747e-321,2.71736e-321,2.68278e-321
0.1,6.42285e-323,3.45846e-323,2.96439e-323
0.11,0,0,0
0.12,5.04658e-310,5.04658e-310,5.04658e-310
0.13,2.74206e-321,2.71242e-321,2.67784e-321
0.14,5.92879e-323,2.96439e-323,2.47033e-323
0.15,0,0,0
0.16,5.04658e-310,5.04658e-310,5.04658e-310
0.17,7.16395e-322,7.16395e-322,5.04658e-310
0.18,0,0,5.04658e-310
0.19,2.7223e-321,2.33199e-321,5.04658e-310
0.2,3.95253e-323,0,1.39065e-309
0.21,0,3.95253e-323,5.04658e-310
0.22,5.04658e-310,5.04658e-310,5.04658e-310
0.23,2.42092e-322,2.42092e-322,5.04658e-310
0.24,0,0,5.04658e-310
0.25,0,0,2.12203e-314
0.26,1.19441e-312,7.11899e-320,5.04658e-310
0.27,1.63042e-322,1.63042e-322,5.04658e-310
0.28,0,0,5.04658e-310
0.29,5.04658e-310,5.04658e-310,5.04658e-310
0.3,3.95253e-323,3.95253e-323,3.23796e-319
0.31,1.63042e-322,1.63042e-322,5.04658e-310
0.32,0,0,5.04658e-310
0.33,5.04658e-310,5.04658e-310,6.33241e-310
0.34,4.94066e-323,4.94066e-323,6.33241e-310
0.35,1.63042e-322,1.63042e-322,1.63042e-322
0.36,0,0,0
0.37,2.76183e-321,2.37152e-321,0
0.38,7.90505e-323,0,0
0.39,0,7.90505e-323,0
0.4,5.04658e-310,5.04658e-310,0
0.41,2.75689e-321,2.36657e-321,0
0.42,7.41098e-323,0,0
0.43,0,7.41098e-323,0
0.44,5.04658e-310,5.04658e-310,0
0.45,2.75195e-321,2.36163e-321,0
0.46,6.91692e-323,0,0
0.47,0,6.91692e-323,0
0.48,5.04658e-310,5.04658e-310,0
0.49,2.747e-321,2.35669e-321,0
0.5,6.42285e-323,0,0
0.51,0.486232,0.919438,-0.318025
0.52,0.477037,0.922618,-0.311874
0.53,0.467811,0.925737,-0.305703
0.54,0.458554,0.928794,-0.299511
0.55,0.449266,0.931789,-0.293299
0.56,0.439948,0.934722,-0.287067
0.57,0.430601,0.937593,-0.280817
0.58,0.421225,0.940401,-0.274547
0.59,0.411821,0.943146,-0.26826
0.6,0.402389,0.945829,-0.261954
0.61,0.392931,0.948449,-0.255631
0.62,0.383447,0.951005,-0.249291
0.63,0.373937,0.953498,-0.242934
0.64,0.364402,0.955927,-0.236562
0.65,0.354842,0.958293,-0.230173
0.66,0.345259,0.960594,-0.223769
0.67,0.335653,0.962832,-0.21735
0.68,0.326025,0.965006,-0.210917
0.69,0.316375,0.967115,-0.204469
0.7,0.306704,0.969159,-0.198008
0.71,0.297012,0.97114,-0.191534
0.72,0.287301,0.973055,-0.185047
0.73,0.27757,0.974905,-0.178548
0.74,0.267821,0.976691,-0.172036
0.75,0.258054,0.978411,-0.165514
0.76,0.24827,0.980066,-0.15898
0.77,0.23847,0.981656,-0.152435
0.78,0.228653,0.983181,-0.145881
0.79,0.218821,0.984639,-0.139317
0.8,0.208975,0.986032,-0.132743
0.81,0.199115,0.98736,-0.126161
0.82,0.189241,0.988622,-0.11957
0.83,0.179355,0.989817,-0.112971
0.84,0.169457,0.990947,-0.106365
0.85,0.159547,0.992011,-0.0997513
0.86,0.149627,0.993008,-0.0931312
0.87,0.139697,0.993939,-0.086505
0.88,0.129757,0.994804,-0.0798729
0.89,0.119809,0.995603,-0.0732356
0.9,0.109853,0.996336,-0.0665934
0.91,0.09989,0.997001,-0.0599467
0.92,0.08992,0.997601,-0.053296
0.93,0.079944,0.998134,-0.0466418
0.94,0.0699627,0.9986,-0.0399844
0.95,0.0599767,0.999,-0.0333244
0.96,0.0499867,0.999333,-0.0266622
0.97,0.0399933,0.9996,-0.0199982
0.98,0.0299973,0.9998,-0.0133329
0.99,0.0199993,0.999933,-0.00666667
1,0.01,1,-0
