No iterations: 20000
Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2), Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
0, 1, -1,0,2, 1,0
0.0001, 0.9999, -1,0.00263233,2.0001, 1,-0.00262919
0.0002, 0.9998, -1,0.00526388,2.0002, 1,-0.00526466
0.0003, 0.9997, -0.999999,0.00789464,2.0003, 0.999999,-0.00789386
0.0004, 0.9996, -0.999998,0.0105285,2.0004, 0.999998,-0.0105293
0.0005, 0.9995, -0.999997,0.0131593,2.0005, 0.999997,-0.0131585
0.0006, 0.9994, -0.999996,0.0157908,2.0006, 0.999996,-0.015794
0.0007, 0.9993, -0.999994,0.0184232,2.0007, 0.999994,-0.0184232
0.0008, 0.9992, -0.999993,0.0210555,2.0008, 0.999993,-0.0210524
0.0009, 0.9991, -0.999991,0.0236871,2.0009, 0.999991,-0.0236878
0.001, 0.999, -0.999988,0.0263178,2.001, 0.999988,-0.026317
0.0011, 0.9989, -0.999986,0.0289517,2.0011, 0.999986,-0.0289525
0.0012, 0.9988, -0.999983,0.0315825,2.0012, 0.999983,-0.0315817
0.0013, 0.9987, -0.999979,0.034214,2.0013, 0.999979,-0.0342172
0.0014, 0.9986, -0.999976,0.0368464,2.0014, 0.999976,-0.0368464
0.0015, 0.9985, -0.999972,0.0394787,2.0015, 0.999972,-0.0394756
0.0016, 0.9984, -0.999968,0.0421102,2.0016, 0.999968,-0.042111
0.0017, 0.9983, -0.999964,0.044741,2.0017, 0.999964,-0.0447402
0.0018, 0.9982, -0.99996,0.0473749,2.0018, 0.99996,-0.0473757
0.0019, 0.9981, -0.999955,0.0500049,2.0019, 0.999955,-0.0500049
0.002, 0.998, -0.99995,0.0526372,2.002, 0.99995,-0.0526341
0.0021, 0.9979, -0.999945,0.0552695,2.0021, 0.999945,-0.0552695
0.0022, 0.9978, -0.999939,0.0578995,2.0022, 0.999939,-0.0578987
0.0023, 0.9977, -0.999933,0.0605334,2.0023, 0.999933,-0.0605342
0.0024, 0.9976, -0.999927,0.0631634,2.0024, 0.999927,-0.0631634
0.0025, 0.9975, -0.999921,0.0657957,2.0025, 0.999921,-0.0657989
0.0026, 0.9974, -0.999914,0.0684281,2.0026, 0.999914,-0.0684281
0.0027, 0.9973, -0.999908,0.071058,2.0027, 0.999908,-0.0710573
0.0028, 0.9972, -0.999901,0.0736919,2.0028, 0.999901,-0.0736927
0.0029, 0.9971, -0.999893,0.0763219,2.0029, 0.999893,-0.0763219
0.003, 0.997, -0.999886,0.0789542,2.003, 0.999886,-0.0789511
0.0031, 0.9969, -0.999878,0.0815858,2.0031, 0.999878,-0.0815866
0.0032, 0.9968, -0.999869,0.0842166,2.0032, 0.999869,-0.0842158
0.0033, 0.9967, -0.999861,0.0868481,2.0033, 0.999861,-0.0868512
0.0034, 0.9966, -0.999852,0.0894804,2.0034, 0.999852,-0.0894804
0.0035, 0.9965, -0.999843,0.0921104,2.0035, 0.999843,-0.0921096
0.0036, 0.9964, -0.999834,0.0947443,2.0036, 0.999834,-0.0947451
0.0037, 0.9963, -0.999825,0.0973743,2.0037, 0.999825,-0.0973743
0.0038, 0.9962, -0.999815,0.100007,2.0038, 0.999815,-0.100003
0.0039, 0.9961, -0.999805,0.102638,2.0039, 0.999805,-0.102639
0.004, 0.996, -0.999795,0.105268,2.004, 0.999795,-0.105268
0.0041, 0.9959, -0.999784,0.1079,2.0041, 0.999784,-0.107897
0.0042, 0.9958, -0.999773,0.110532,2.0042, 0.999773,-0.110533
0.0043, 0.9957, -0.999762,0.113163,2.0043, 0.999762,-0.113162
0.0044, 0.9956, -0.999751,0.115794,2.0044, 0.999751,-0.115791
0.0045, 0.9955, -0.999739,0.118426,2.0045, 0.999739,-0.118427
0.0046, 0.9954, -0.999728,0.121056,2.0046, 0.999728,-0.121056
0.0047, 0.9953, -0.999716,0.123688,2.0047, 0.999716,-0.123685
0.0048, 0.9952, -0.999703,0.12632,2.0048, 0.999703,-0.126321
0.0049, 0.9951, -0.999691,0.12895,2.0049, 0.999691,-0.12895
0.005, 0.995001, -0.999678,0.13158,2.005, 0.999678,-0.131579
0.0051, 0.994901, -0.999664,0.134214,2.0051, 0.999664,-0.134214
0.0052, 0.994801, -0.999651,0.136844,2.0052, 0.999651,-0.136844
0.0053, 0.994701, -0.999637,0.139474,2.0053, 0.999637,-0.139473
0.0054, 0.994601, -0.999623,0.142105,2.0054, 0.999623,-0.142108
0.0055, 0.994501, -0.999609,0.144737,2.0055, 0.999609,-0.144737
0.0056, 0.994401, -0.999595,0.147367,2.0056, 0.999595,-0.147367
0.0057, 0.994301, -0.99958,0.149997,2.0057, 0.99958,-0.149996
0.0058, 0.994201, -0.999565,0.152628,2.0058, 0.999565,-0.152631
0.0059, 0.994101, -0.99955,0.15526,2.0059, 0.99955,-0.15526
0.006, 0.994001, -0.999534,0.15789,2.006, 0.999534,-0.15789
0.0061, 0.993901, -0.999518,0.16052,2.0061, 0.999518,-0.160519
0.0062, 0.993801, -0.999502,0.163151,2.0062, 0.999502,-0.163154
0.0063, 0.993701, -0.999486,0.165783,2.0063, 0.999486,-0.165784
0.0064, 0.993601, -0.999469,0.168413,2.0064, 0.999469,-0.168413
0.0065, 0.993501, -0.999453,0.171043,2.0065, 0.999453,-0.171042
0.0066, 0.993401, -0.999436,0.173672,2.0066, 0.999436,-0.173671
0.0067, 0.993301, -0.999418,0.176303,2.0067, 0.999418,-0.176307
0.0068, 0.993201, -0.999401,0.178935,2.0068, 0.999401,-0.178936
0.0069, 0.993101, -0.999383,0.181565,2.0069, 0.999383,-0.181565
0.007, 0.993001, -0.999364,0.184194,2.007, 0.999364,-0.184194
0.0071, 0.992902, -0.999346,0.186824,2.0071, 0.999346,-0.186823
0.0072, 0.992802, -0.999327,0.189456,2.0072, 0.999327,-0.189453
0.0073, 0.992702, -0.999308,0.192085,2.0073, 0.999308,-0.192088
0.0074, 0.992602, -0.999289,0.194716,2.0074, 0.999289,-0.194717
0.0075, 0.992502, -0.99927,0.197346,2.0075, 0.99927,-0.197346
0.0076, 0.992402, -0.99925,0.199976,2.0076, 0.99925,-0.199976
0.0077, 0.992302, -0.99923,0.202605,2.0077, 0.99923,-0.202605
0.0078, 0.992202, -0.99921,0.205235,2.0078, 0.99921,-0.205234
0.0079, 0.992102, -0.999189,0.207864,2.0079, 0.999189,-0.207863
0.008, 0.992002, -0.999168,0.210493,2.008, 0.999168,-0.210492
0.0081, 0.991902, -0.999147,0.213125,2.0081, 0.999147,-0.213122
0.0082, 0.991802, -0.999126,0.215754,2.0082, 0.999126,-0.215757
0.0083, 0.991702, -0.999104,0.218383,2.0083, 0.999104,-0.218386
0.0084, 0.991603, -0.999083,0.221015,2.0084, 0.999083,-0.221015
0.0085, 0.991503, -0.999061,0.223644,2.0085, 0.999061,-0.223645
0.0086, 0.991403, -0.999038,0.226273,2.0086, 0.999038,-0.226274
0.0087, 0.991303, -0.999016,0.228902,2.0087, 0.999016,-0.228903
0.0088, 0.991203, -0.998993,0.231531,2.0088, 0.998993,-0.231532
0.0089, 0.991103, -0.99897,0.234161,2.0089, 0.99897,-0.234161
0.009, 0.991003, -0.998946,0.23679,2.009, 0.998946,-0.236791
0.0091, 0.990903, -0.998922,0.239419,2.0091, 0.998922,-0.23942
0.0092, 0.990803, -0.998898,0.242048,2.0092, 0.998898,-0.242049
0.0093, 0.990703, -0.998874,0.244677,2.0093, 0.998874,-0.244678
0.0094, 0.990604, -0.99885,0.247307,2.0094, 0.99885,-0.247307
0.0095, 0.990504, -0.998825,0.249933,2.0095, 0.998825,-0.249937
0.0096, 0.990404, -0.9988,0.252563,2.0096, 0.9988,-0.252566
0.0097, 0.990304, -0.998775,0.255192,2.0097, 0.998775,-0.255189
0.0098, 0.990204, -0.998749,0.257821,2.0098, 0.998749,-0.257818
0.0099, 0.990104, -0.998724,0.260448,2.0099, 0.998724,-0.260447
0.01, 0.990004, -0.998697,0.263077,2.01, 0.998697,-0.263076
0.0101, 0.989904, -0.998671,0.265705,2.0101, 0.998671,-0.265705
0.0102, 0.989805, -0.998645,0.268335,2.0102, 0.998645,-0.268335
0.0103, 0.989705, -0.998618,0.270963,2.0103, 0.998618,-0.270964
0.0104, 0.989605, -0.998591,0.273592,2.0104, 0.998591,-0.273593
0.0105, 0.989505, -0.998563,0.276219,2.0105, 0.998563,-0.276222
