Node position, Conserved Quantity
0, 273.15
0.002, 273.15
0.004, 273.15
0.006, 273.15
0.008, 273.15
0.01, 273.15
0.012, 273.15
0.014, 273.15
0.016, 273.15
0.018, 273.15
0.02, 273.15
0.022, 273.15
0.024, 273.15
0.026, 273.15
0.028, 273.15
0.03, 273.15
0.032, 273.15
0.034, 273.15
0.036, 273.15
0.038, 273.15
0.04, 273.15
0.042, 273.15
0.044, 273.15
0.046, 273.15
0.048, 273.15
0.05, 273.15
0.052, 273.15
0.054, 273.15
0.056, 273.15
0.058, 273.15
0.06, 273.15
0.062, 273.15
0.064, 273.15
0.066, 273.15
0.068, 273.15
0.07, 273.15
0.072, 273.15
0.074, 273.15
0.076, 273.15
0.078, 273.15
0.08, 273.15
0.082, 273.15
0.084, 273.15
0.086, 273.15
0.088, 273.15
0.09, 273.15
0.092, 273.15
0.094, 273.15
0.096, 273.15
0.098, 273.15
0.1, 273.15
0.102, 273.15
0.104, 273.15
0.106, 273.15
0.108, 273.15
0.11, 273.15
0.112, 273.15
0.114, 273.15
0.116, 273.15
0.118, 273.15
0.12, 273.15
0.122, 273.15
0.124, 273.15
0.126, 273.15
0.128, 273.15
0.13, 273.15
0.132, 273.15
0.134, 273.15
0.136, 273.15
0.138, 273.15
0.14, 273.15
0.142, 273.15
0.144, 273.15
0.146, 273.15
0.148, 273.15
0.15, 273.15
0.152, 273.15
0.154, 273.15
0.156, 273.15
0.158, 273.15
0.16, 273.15
0.162, 273.15
0.164, 273.15
0.166, 273.15
0.168, 273.15
0.17, 273.15
0.172, 273.15
0.174, 273.15
0.176, 273.15
0.178, 273.15
0.18, 273.15
0.182, 273.15
0.184, 273.15
0.186, 273.15
0.188, 273.15
0.19, 273.15
0.192, 273.15
0.194, 273.15
0.196, 273.15
0.198, 273.15
0.2, 273.15
0.202, 273.15
0.204, 273.15
0.206, 273.15
0.208, 273.15
0.21, 273.15
0.212, 273.15
0.214, 273.15
0.216, 273.15
0.218, 273.15
0.22, 273.15
0.222, 273.15
0.224, 273.15
0.226, 273.15
0.228, 273.15
0.23, 273.15
0.232, 273.15
0.234, 273.15
0.236, 273.15
0.238, 273.15
0.24, 273.15
0.242, 273.15
0.244, 273.15
0.246, 273.15
0.248, 273.15
0.25, 273.15
0.252, 273.15
0.254, 273.15
0.256, 273.15
0.258, 273.15
0.26, 273.15
0.262, 273.15
0.264, 273.15
0.266, 273.15
0.268, 273.15
0.27, 273.15
0.272, 273.15
0.274, 273.15
0.276, 273.15
0.278, 273.15
0.28, 273.15
0.282, 273.15
0.284, 273.15
0.286, 273.15
0.288, 273.15
0.29, 273.15
0.292, 273.15
0.294, 273.15
0.296, 273.15
0.298, 273.15
0.3, 273.15
0.302, 273.15
0.304, 273.15
0.306, 273.15
0.308, 273.15
0.31, 273.15
0.312, 273.15
0.314, 273.15
0.316, 273.15
0.318, 273.15
0.32, 273.15
0.322, 273.15
0.324, 273.15
0.326, 273.15
0.328, 273.15
0.33, 273.15
0.332, 273.15
0.334, 273.15
0.336, 273.15
0.338, 273.15
0.34, 273.15
0.342, 273.15
0.344, 273.15
0.346, 273.15
0.348, 273.15
0.35, 273.15
0.352, 273.15
0.354, 273.15
0.356, 273.15
0.358, 273.15
0.36, 273.15
0.362, 273.15
0.364, 273.15
0.366, 273.15
0.368, 273.15
0.37, 273.15
0.372, 273.15
0.374, 273.15
0.376, 273.15
0.378, 273.15
0.38, 273.15
0.382, 273.15
0.384, 273.15
0.386, 273.15
0.388, 273.15
0.39, 273.15
0.392, 273.15
0.394, 273.15
0.396, 273.15
0.398, 273.15
0.4, 273.15
0.402, 273.15
0.404, 273.15
0.406, 273.15
0.408, 273.15
0.41, 273.15
0.412, 273.15
0.414, 273.15
0.416, 273.15
0.418, 273.15
0.42, 273.15
0.422, 273.15
0.424, 273.15
0.426, 273.15
0.428, 273.15
0.43, 273.15
0.432, 273.15
0.434, 273.15
0.436, 273.15
0.438, 273.15
0.44, 273.15
0.442, 273.15
0.444, 273.15
0.446, 273.15
0.448, 273.15
0.45, 273.15
0.452, 273.15
0.454, 273.15
0.456, 273.15
0.458, 273.15
0.46, 273.15
0.462, 273.15
0.464, 273.15
0.466, 273.15
0.468, 273.15
0.47, 273.15
0.472, 273.15
0.474, 273.15
0.476, 273.15
0.478, 273.15
0.48, 273.15
0.482, 273.15
0.484, 273.15
0.486, 273.15
0.488, 273.15
0.49, 273.15
0.492, 273.15
0.494, 273.15
0.496, 273.15
0.498, 273.15
0.5, 273.15
0.502, 273.15
0.504, 273.15
0.506, 273.15
0.508, 273.15
0.51, 273.15
0.512, 273.15
0.514, 273.15
0.516, 273.15
0.518, 273.15
0.52, 273.15
0.522, 273.15
0.524, 273.15
0.526, 273.15
0.528, 273.15
0.53, 273.15
0.532, 273.15
0.534, 273.15
0.536, 273.15
0.538, 273.15
0.54, 273.15
0.542, 273.15
0.544, 273.15
0.546, 273.15
0.548, 273.15
0.55, 273.15
0.552, 273.15
0.554, 273.15
0.556, 273.15
0.558, 273.15
0.56, 273.15
0.562, 273.15
0.564, 273.15
0.566, 273.15
0.568, 273.15
0.57, 273.15
0.572, 273.15
0.574, 273.15
0.576, 273.15
0.578, 273.15
0.58, 273.15
0.582, 273.15
0.584, 273.15
0.586, 273.15
0.588, 273.15
0.59, 273.15
0.592, 273.15
0.594, 273.15
0.596, 273.15
0.598, 273.15
0.6, 273.15
0.602, 273.15
0.604, 273.15
0.606, 273.15
0.608, 273.15
0.61, 273.15
0.612, 273.15
0.614, 273.15
0.616, 273.15
0.618, 273.15
0.62, 273.15
0.622, 273.15
0.624, 273.15
0.626, 273.15
0.628, 273.15
0.63, 273.15
0.632, 273.15
0.634, 273.15
0.636, 273.15
0.638, 273.15
0.64, 273.15
0.642, 273.15
0.644, 273.15
0.646, 273.15
0.648, 273.15
0.65, 273.15
0.652, 273.15
0.654, 273.15
0.656, 273.15
0.658, 273.15
0.66, 273.15
0.662, 273.15
0.664, 273.15
0.666, 273.15
0.668, 273.15
0.67, 273.15
0.672, 273.15
0.674, 273.15
0.676, 273.15
0.678, 273.15
0.68, 273.15
0.682, 273.15
0.684, 273.15
0.686, 273.15
0.688, 273.15
0.69, 273.15
0.692, 273.15
0.694, 273.15
0.696, 273.15
0.698, 273.15
0.7, 273.15
0.702, 273.15
0.704, 273.15
0.706, 273.15
0.708, 273.15
0.71, 273.15
0.712, 273.15
0.714, 273.15
0.716, 273.15
0.718, 273.15
0.72, 273.15
0.722, 273.15
0.724, 273.15
0.726, 273.15
0.728, 273.15
0.73, 273.15
0.732, 273.15
0.734, 273.15
0.736, 273.15
0.738, 273.15
0.74, 273.15
0.742, 273.15
0.744, 273.15
0.746, 273.15
0.748, 273.15
0.75, 273.15
0.752, 273.15
0.754, 273.15
0.756, 273.15
0.758, 273.15
0.76, 273.15
0.762, 273.15
0.764, 273.15
0.766, 273.15
0.768, 273.15
0.77, 273.15
0.772, 273.15
0.774, 273.15
0.776, 273.15
0.778, 273.15
0.78, 273.15
0.782, 273.15
0.784, 273.15
0.786, 273.15
0.788, 273.15
0.79, 273.15
0.792, 273.15
0.794, 273.15
0.796, 273.15
0.798, 273.15
0.8, 273.15
0.802, 273.15
0.804, 273.15
0.806, 273.15
0.808, 273.15
0.81, 273.15
0.812, 273.15
0.814, 273.15
0.816, 273.15
0.818, 273.15
0.82, 273.15
0.822, 273.15
0.824, 273.15
0.826, 273.15
0.828, 273.15
0.83, 273.15
0.832, 273.15
0.834, 273.15
0.836, 273.15
0.838, 273.15
0.84, 273.15
0.842, 273.15
0.844, 273.15
0.846, 273.15
0.848, 273.15
0.85, 273.151
0.852, 273.151
0.854, 273.151
0.856, 273.151
0.858, 273.151
0.86, 273.151
0.862, 273.151
0.864, 273.151
0.866, 273.151
0.868, 273.151
0.87, 273.151
0.872, 273.152
0.874, 273.152
0.876, 273.152
0.878, 273.152
0.88, 273.152
0.882, 273.153
0.884, 273.153
0.886, 273.153
0.888, 273.154
0.89, 273.154
0.892, 273.154
0.894, 273.155
0.896, 273.155
0.898, 273.156
0.9, 273.157
0.902, 273.157
0.904, 273.158
0.906, 273.159
0.908, 273.16
0.91, 273.161
0.912, 273.162
0.914, 273.164
0.916, 273.165
0.918, 273.167
0.92, 273.168
0.922, 273.17
0.924, 273.172
0.926, 273.175
0.928, 273.177
0.93, 273.18
0.932, 273.183
0.934, 273.187
0.936, 273.191
0.938, 273.195
0.94, 273.2
0.942, 273.205
0.944, 273.211
0.946, 273.217
0.948, 273.224
0.95, 273.232
0.952, 273.241
0.954, 273.25
0.956, 273.261
0.958, 273.272
0.96, 273.285
0.962, 273.299
0.964, 273.315
0.966, 273.332
0.968, 273.352
0.97, 273.373
0.972, 273.396
0.974, 273.422
0.976, 273.451
0.978, 273.483
0.98, 273.518
0.982, 273.556
0.984, 273.599
0.986, 273.646
0.988, 273.699
0.99, 273.756
0.992, 273.82
0.994, 273.891
0.996, 273.969
0.998, 274.055
1, 274.15
