Particle 1 position x_1 (cm), y_1 (cm), Particle 1 velocity v_x, v_y |  x_2,y_2,v_x,v_y ; ...
0.434132,1.38683,56.864,48.2251|4.35094,1.09175,37.2719,53.2555|4.89159,2.67225,21.4081,13.8253|0.559046,0.84292,-5.63216,-45.7109|4.65465,4.88157,20.8068,-88.9131|0.115075,0.740139,158.403,-154.586|3.60439,3.13852,324.824,-209.107|1.21394,3.21256,250.812,-303.347|2.46117,0.601728,361.701,-317.981|0.451695,3.82833,304.218,-345.245|1.97168,4.17595,272.167,-321.307|3.1026,1.61697,320.295,-360.069|2.23197,0.78269,281.567,-322.271|4.9044,1.44124,231.662,-306.015|1.66706,4.9295,197.017,-252.103|0.0589956,0.0335804,138.916,-240.673|1.56885,3.35705,65.6776,-243.135|4.02765,3.93194,12.3834,-196.074|4.3316,2.88183,-34.7832,-245.089|3.60152,0.62197,-0.892628,-297.269|
0.434701,1.38732,56.9353,49.3885|4.35131,1.09227,37.0846,52.5603|4.89181,2.67239,22.4242,13.8802|0.558995,0.842464,-5.05373,-45.666|4.65487,4.88069,21.1977,-88.2377|0.116653,0.738593,157.786,-154.579|3.60763,3.13643,323.839,-209.211|1.21645,3.20952,250.624,-304.226|2.46479,0.598542,361.804,-318.587|0.454724,3.82489,302.98,-344.885|1.97441,4.17274,273.015,-321.097|3.1058,1.61337,320.263,-359.6|2.23479,0.779466,281.19,-322.367|4.90672,1.43817,232.402,-306.309|1.66903,4.92699,196.943,-250.976|0.0603807,0.0311611,138.509,-241.936|1.56951,3.35461,66.1694,-243.796|4.02777,3.92999,12.1194,-195.45|4.33125,2.87938,-34.6533,-245.226|3.60151,0.618988,-0.630726,-298.175|
0.435271,1.38783,57.0063,50.5517|4.35168,1.09279,36.8981,51.8671|4.89205,2.67253,23.4425,13.9347|0.558951,0.842008,-4.47587,-45.6201|4.65508,4.87981,21.5879,-87.563|0.118225,0.737048,157.171,-154.574|3.61086,3.13434,322.853,-209.314|1.21895,3.20647,250.438,-305.104|2.46841,0.59535,361.906,-319.192|0.457742,3.82144,301.741,-344.525|1.97715,4.16953,273.863,-320.888|3.109,1.60978,320.229,-359.132|2.23759,0.776242,280.81,-322.464|4.90905,1.43511,233.145,-306.604|1.671,4.92449,196.869,-249.848|0.0617617,0.0287291,138.104,-243.199|1.57018,3.35217,66.66,-244.456|4.02789,3.92804,11.8546,-194.825|4.33091,2.87693,-34.5249,-245.365|3.60151,0.615997,-0.363427,-299.083|
0.435842,1.38834,57.077,51.7145|4.35204,1.0933,36.7123,51.176|4.89229,2.67267,24.463,13.9887|0.558912,0.841552,-3.89859,-45.5732|4.6553,4.87894,21.9773,-86.8888|0.119791,0.735502,156.558,-154.571|3.61407,3.13224,321.868,-209.417|1.22146,3.20341,250.255,-305.983|2.47203,0.592152,362.008,-319.798|0.460747,3.818,300.501,-344.164|1.9799,4.16632,274.713,-320.679|3.1122,1.6062,320.191,-358.663|2.2404,0.773016,280.428,-322.56|4.91139,1.43204,233.891,-306.899|1.67297,4.92201,196.795,-248.72|0.0631388,0.0262845,137.7,-244.461|1.57085,3.34972,67.1494,-245.116|4.028,3.9261,11.589,-194.199|4.33056,2.87447,-34.398,-245.507|3.60151,0.612997,-0.0907538,-299.992|
0.436414,1.38887,57.1474,52.8771|4.35241,1.09381,36.5273,50.487|4.89255,2.67281,25.4857,14.0424|0.558878,0.841097,-3.3219,-45.5253|4.65553,4.87808,22.366,-86.2151|0.12135,0.733956,155.948,-154.569|3.61728,3.13015,320.883,-209.521|1.22396,3.20034,250.073,-306.862|2.47565,0.588948,362.108,-320.403|0.463739,3.81456,299.261,-343.802|1.98266,4.16312,275.563,-320.472|3.11541,1.60261,320.151,-358.193|2.2432,0.76979,280.042,-322.656|4.91374,1.42897,234.64,-307.194|1.67494,4.91953,196.72,-247.593|0.0645117,0.0238272,137.298,-245.724|1.57152,3.34726,67.6375,-245.774|4.02812,3.92416,11.3225,-193.572|4.33022,2.87201,-34.2725,-245.65|3.60151,0.609988,0.187267,-300.901|
0.436986,1.38941,57.2175,54.0394|4.35277,1.09431,36.3432,49.8|4.89281,2.67295,26.5107,14.0956|0.558851,0.840642,-2.74582,-45.4764|4.65575,4.87723,22.754,-85.542|0.122903,0.732411,155.34,-154.568|3.62048,3.12805,319.897,-209.624|1.22646,3.19726,249.894,-307.741|2.47927,0.585738,362.208,-321.008|0.46672,3.81113,298.019,-343.441|1.98542,4.15992,276.414,-320.265|3.11861,1.59904,320.108,-357.724|2.246,0.766562,279.654,-322.752|4.91609,1.42589,235.392,-307.49|1.6769,4.91707,196.645,-246.465|0.0658807,0.0213574,136.898,-246.987|1.57221,3.34479,68.1244,-246.432|4.02823,3.92223,11.0551,-192.944|4.32988,2.86956,-34.1486,-245.796|3.60151,0.60697,0.47061,-301.812|
0.437559,1.38996,57.2871,55.2012|4.35313,1.0948,36.1598,49.1152|4.89309,2.67309,27.5379,14.1484|0.558829,0.840188,-2.17035,-45.4266|4.65598,4.87638,23.1412,-84.8696|0.124451,0.730865,154.733,-154.57|3.62367,3.12596,318.912,-209.728|1.22895,3.19418,249.716,-308.62|2.48289,0.582522,362.307,-321.613|0.469687,3.80769,296.777,-343.079|1.98819,4.15672,277.266,-320.058|3.12181,1.59546,320.062,-357.254|2.24879,0.763334,279.264,-322.848|4.91845,1.42281,236.147,-307.786|1.67887,4.91461,196.569,-245.338|0.0672457,0.0188749,136.499,-248.249|1.57289,3.34232,68.6101,-247.088|4.02833,3.92031,10.7869,-192.314|4.32954,2.8671,-34.0262,-245.944|3.60152,0.603943,0.759249,-302.724|
0.438132,1.39053,57.3565,56.3628|4.35349,1.09528,35.9773,48.4325|4.89337,2.67324,28.5673,14.2009|0.558813,0.839734,-1.59549,-45.3758|4.65622,4.87554,23.5278,-84.1977|0.125992,0.729319,154.129,-154.572|3.62685,3.12386,317.927,-209.832|1.23145,3.19108,249.541,-309.499|2.48652,0.579299,362.405,-322.218|0.472643,3.80427,295.534,-342.716|1.99097,4.15352,278.119,-319.852|3.12501,1.5919,320.013,-356.783|2.25158,0.760104,278.871,-322.944|4.92082,1.41973,236.905,-308.082|1.68083,4.91217,196.493,-244.211|0.0686067,0.0163798,136.102,-249.512|1.57358,3.33985,69.0944,-247.743|4.02844,3.91839,10.5178,-191.683|4.3292,2.86464,-33.9054,-246.094|3.60153,0.600906,1.05316,-303.637|
0.438707,1.3911,57.4254,57.5239|4.35385,1.09576,35.7956,47.7519|4.89367,2.67338,29.599,14.253|0.558803,0.839281,-1.02127,-45.3241|4.65646,4.8747,23.9136,-83.5264|0.127527,0.727773,153.527,-154.576|3.63002,3.12176,316.942,-209.936|1.23394,3.18798,249.368,-310.378|2.49014,0.576071,362.503,-322.822|0.475586,3.80084,294.29,-342.353|1.99376,4.15032,278.973,-319.648|3.12821,1.58833,319.961,-356.313|2.25436,0.756874,278.475,-323.04|4.9232,1.41665,237.667,-308.379|1.6828,4.90974,196.416,-243.084|0.0699638,0.013872,135.706,-250.775|1.57428,3.33736,69.5776,-248.398|4.02854,3.91648,10.2479,-191.052|4.32886,2.86217,-33.7862,-246.246|3.60155,0.597861,1.35231,-304.55|
0.439282,1.39169,57.4939,58.6847|4.35421,1.09623,35.6147,47.0736|4.89397,2.67352,30.6328,14.3047|0.558799,0.838828,-0.447678,-45.2715|4.6567,4.87387,24.2987,-82.8557|0.129057,0.726228,152.927,-154.582|3.63318,3.11966,315.957,-210.04|1.23644,3.18487,249.197,-311.256|2.49377,0.572837,362.6,-323.427|0.478516,3.79742,293.045,-341.989|1.99656,4.14713,279.828,-319.443|3.13141,1.58477,319.907,-355.842|2.25714,0.753642,278.076,-323.135|4.92558,1.41356,238.431,-308.676|1.68476,4.90732,196.338,-241.958|0.0713169,0.0113516,135.312,-252.037|1.57498,3.33487,70.0594,-249.051|4.02864,3.91458,9.97711,-190.419|4.32852,2.85971,-33.6686,-246.4|3.60156,0.594806,1.65668,-305.465|
