4000 | 20
Particle position x_1 (cm), Particle 1 position y_1 (cm), velocity_x, velocity_y |  x_2,y_2,v_x,v_y ; ...
2.6479,2.70396,-4.67253,-0.00096771|4.00275,1.0371,0.606408,1.63183|0.954566,0.436884,3.30404,-1.95555|3.76567,0.0564567,-0.559241,-1.0279|4.87667,4.02107,-2.35921,-1.57697|4.76513,2.93166,4.87198,0.565573|2.97914,1.24925,-4.61677,-1.66743|3.67764,3.67963,1.46504,4.43262|3.53667,1.40672,-1.20177,-4.85097|2.52746,1.00887,3.91058,-4.33649|0.216284,1.26842,-0.459321,1.09547|2.46359,0.924143,2.52109,-0.850114|2.58811,0.507974,-3.95913,2.43172|3.86907,3.35042,1.39485,-3.20263|2.84074,0.821977,2.97447,1.67062|1.09501,0.627354,-0.56382,-4.16235|4.76272,3.43528,-1.4526,2.35505|2.82727,1.43395,1.13788,-4.05212|2.58336,2.23679,3.58788,-1.89709|3.8839,1.43909,-2.67202,0.86334|
2.65257,2.70396,4.67253,-0.00096771|4.00335,1.03873,0.606408,1.63183|0.95787,0.434928,3.30404,-1.95555|3.76623,0.0554287,0.559241,-1.0279|4.87903,4.0195,2.35921,-1.57697|4.77,2.93222,4.87198,0.565573|2.98376,1.24758,4.61677,-1.66743|3.6791,3.68407,1.46504,4.43262|3.53787,1.40187,1.20177,-4.85097|2.53137,1.00453,3.91058,-4.33649|0.216744,1.26951,0.459321,1.09547|2.46611,0.923292,2.52109,-0.850114|2.59207,0.510406,3.95913,2.43172|3.87047,3.34721,1.39485,-3.20263|2.84372,0.823647,2.97447,1.67062|1.09557,0.623192,0.56382,-4.16235|4.76418,3.43764,1.4526,2.35505|2.82841,1.4299,1.13788,-4.05212|2.58695,2.23489,3.58788,-1.89709|3.88657,1.43996,2.67202,0.86334|
2.65725,2.70396,4.67253,-0.00096771|4.00396,1.04036,0.606408,1.63183|0.961174,0.432973,3.30404,-1.95555|3.76679,0.0544008,0.559241,-1.0279|4.88139,4.01792,2.35921,-1.57697|4.77487,2.93279,4.87198,0.565573|2.98838,1.24591,4.61677,-1.66743|3.68057,3.6885,1.46504,4.43262|3.53907,1.39702,1.20177,-4.85097|2.53529,1.0002,3.91058,-4.33649|0.217203,1.27061,0.459321,1.09547|2.46863,0.922442,2.52109,-0.850114|2.59603,0.512838,3.95913,2.43172|3.87186,3.34401,1.39485,-3.20263|2.84669,0.825318,2.97447,1.67062|1.09614,0.619029,0.56382,-4.16235|4.76563,3.43999,1.4526,2.35505|2.82954,1.42585,1.13788,-4.05212|2.59054,2.23299,3.58788,-1.89709|3.88924,1.44082,2.67202,0.86334|
2.66192,2.70396,4.67253,-0.00096771|4.00456,1.042,0.606408,1.63183|0.964478,0.431017,3.30404,-1.95555|3.76735,0.0533729,0.559241,-1.0279|4.88375,4.01634,2.35921,-1.57697|4.77974,2.93335,4.87198,0.565573|2.99299,1.24424,4.61677,-1.66743|3.68203,3.69293,1.46504,4.43262|3.54028,1.39217,1.20177,-4.85097|2.5392,0.995859,3.91058,-4.33649|0.217662,1.27171,0.459321,1.09547|2.47115,0.921592,2.52109,-0.850114|2.59998,0.515269,3.95913,2.43172|3.87326,3.34081,1.39485,-3.20263|2.84967,0.826989,2.97447,1.67062|1.0967,0.614867,0.56382,-4.16235|4.76708,3.44235,1.4526,2.35505|2.83068,1.4218,1.13788,-4.05212|2.59413,2.23109,3.58788,-1.89709|3.89192,1.44168,2.67202,0.86334|
2.66659,2.70395,4.67253,-0.00096771|4.00517,1.04363,0.606408,1.63183|0.967782,0.429062,3.30404,-1.95555|3.76791,0.052345,0.559241,-1.0279|4.88611,4.01477,2.35921,-1.57697|4.78462,2.93392,4.87198,0.565573|2.99761,1.24258,4.61677,-1.66743|3.6835,3.69736,1.46504,4.43262|3.54148,1.38732,1.20177,-4.85097|2.54311,0.991522,3.91058,-4.33649|0.218122,1.2728,0.459321,1.09547|2.47367,0.920742,2.52109,-0.850114|2.60394,0.517701,3.95913,2.43172|3.87465,3.33761,1.39485,-3.20263|2.85264,0.828659,2.97447,1.67062|1.09726,0.610705,0.56382,-4.16235|4.76853,3.44471,1.4526,2.35505|2.83182,1.41774,1.13788,-4.05212|2.59771,2.2292,3.58788,-1.89709|3.89459,1.44255,2.67202,0.86334|
2.67126,2.70395,4.67253,-0.00096771|4.00578,1.04526,0.606408,1.63183|0.971086,0.427106,3.30404,-1.95555|3.76847,0.0513171,0.559241,-1.0279|4.88846,4.01319,2.35921,-1.57697|4.78949,2.93448,4.87198,0.565573|3.00223,1.24091,4.61677,-1.66743|3.68496,3.7018,1.46504,4.43262|3.54268,1.38246,1.20177,-4.85097|2.54702,0.987186,3.91058,-4.33649|0.218581,1.2739,0.459321,1.09547|2.47619,0.919892,2.52109,-0.850114|2.6079,0.520133,3.95913,2.43172|3.87605,3.3344,1.39485,-3.20263|2.85562,0.83033,2.97447,1.67062|1.09783,0.606542,0.56382,-4.16235|4.76999,3.44706,1.4526,2.35505|2.83296,1.41369,1.13788,-4.05212|2.6013,2.2273,3.58788,-1.89709|3.89726,1.44341,2.67202,0.86334|
2.67594,2.70395,4.67253,-0.00096771|4.00638,1.04689,0.606408,1.63183|0.97439,0.425151,3.30404,-1.95555|3.76903,0.0502892,0.559241,-1.0279|4.89082,4.01161,2.35921,-1.57697|4.79436,2.93505,4.87198,0.565573|3.00684,1.23924,4.61677,-1.66743|3.68643,3.70623,1.46504,4.43262|3.54388,1.37761,1.20177,-4.85097|2.55093,0.982849,3.91058,-4.33649|0.21904,1.27499,0.459321,1.09547|2.47872,0.919042,2.52109,-0.850114|2.61186,0.522564,3.95913,2.43172|3.87744,3.3312,1.39485,-3.20263|2.85859,0.832001,2.97447,1.67062|1.09839,0.60238,0.56382,-4.16235|4.77144,3.44942,1.4526,2.35505|2.8341,1.40964,1.13788,-4.05212|2.60489,2.2254,3.58788,-1.89709|3.89993,1.44427,2.67202,0.86334|
2.68061,2.70395,4.67253,-0.00096771|4.00699,1.04852,0.606408,1.63183|0.977694,0.423195,3.30404,-1.95555|3.76959,0.0492613,0.559241,-1.0279|4.89318,4.01004,2.35921,-1.57697|4.79923,2.93562,4.87198,0.565573|3.01146,1.23757,4.61677,-1.66743|3.68789,3.71066,1.46504,4.43262|3.54508,1.37276,1.20177,-4.85097|2.55484,0.978513,3.91058,-4.33649|0.219499,1.27609,0.459321,1.09547|2.48124,0.918192,2.52109,-0.850114|2.61582,0.524996,3.95913,2.43172|3.87884,3.328,1.39485,-3.20263|2.86157,0.833671,2.97447,1.67062|1.09896,0.598218,0.56382,-4.16235|4.77289,3.45177,1.4526,2.35505|2.83523,1.40559,1.13788,-4.05212|2.60848,2.22351,3.58788,-1.89709|3.9026,1.44514,2.67202,0.86334|
2.68528,2.70395,4.67253,-0.00096771|4.0076,1.05016,0.606408,1.63183|0.980998,0.421239,3.30404,-1.95555|3.77015,0.0482334,0.559241,-1.0279|4.89554,4.00846,2.35921,-1.57697|4.8041,2.93618,4.87198,0.565573|3.01608,1.23591,4.61677,-1.66743|3.68936,3.7151,1.46504,4.43262|3.54628,1.36791,1.20177,-4.85097|2.55875,0.974176,3.91058,-4.33649|0.219959,1.27718,0.459321,1.09547|2.48376,0.917342,2.52109,-0.850114|2.61978,0.527428,3.95913,2.43172|3.88023,3.32479,1.39485,-3.20263|2.86454,0.835342,2.97447,1.67062|1.09952,0.594055,0.56382,-4.16235|4.77434,3.45413,1.4526,2.35505|2.83637,1.40154,1.13788,-4.05212|2.61207,2.22161,3.58788,-1.89709|3.90528,1.446,2.67202,0.86334|
2.68995,2.70395,4.67253,-0.00096771|4.0082,1.05179,0.606408,1.63183|0.984302,0.419284,3.30404,-1.95555|3.77071,0.0472055,0.559241,-1.0279|4.8979,4.00688,2.35921,-1.57697|4.80898,2.93675,4.87198,0.565573|3.02069,1.23424,4.61677,-1.66743|3.69082,3.71953,1.46504,4.43262|3.54749,1.36306,1.20177,-4.85097|2.56266,0.96984,3.91058,-4.33649|0.220418,1.27828,0.459321,1.09547|2.48628,0.916492,2.52109,-0.850114|2.62374,0.52986,3.95913,2.43172|3.88163,3.32159,1.39485,-3.20263|2.86751,0.837012,2.97447,1.67062|1.10008,0.589893,0.56382,-4.16235|4.7758,3.45648,1.4526,2.35505|2.83751,1.39748,1.13788,-4.05212|2.61565,2.21971,3.58788,-1.89709|3.90795,1.44686,2.67202,0.86334|
