Node position, Conserved Quantity
0, 0
1, 1.83007e-25
2, 9.37912e-25
3, 4.0519e-24
4, 1.68971e-23
5, 6.98835e-23
6, 2.88452e-22
7, 1.19005e-21
8, 4.90913e-21
9, 2.02504e-20
10, 8.35329e-20
11, 3.44573e-19
12, 1.42137e-18
13, 5.86313e-18
14, 2.41854e-17
15, 9.97649e-17
16, 4.1153e-16
17, 1.69756e-15
18, 7.00244e-15
19, 2.88851e-14
20, 1.19151e-13
21, 4.91497e-13
22, 2.02743e-12
23, 8.36313e-12
24, 3.44979e-11
25, 1.42304e-10
26, 5.87004e-10
27, 2.42139e-09
28, 9.98824e-09
29, 4.12015e-08
30, 1.69956e-07
31, 7.01069e-07
32, 2.89191e-06
33, 1.19291e-05
34, 4.92076e-05
35, 0.000202981
36, 0.000837298
37, 0.00345386
38, 0.0142472
39, 0.0587695
40, 0.242424
41, 1
