Node position, Conserved Quantity
0, 0
0.0243902, 1.83007e-25
0.0487805, 9.37911e-25
0.0731707, 4.05189e-24
0.097561, 1.68971e-23
0.121951, 6.98834e-23
0.146341, 2.88452e-22
0.170732, 1.19005e-21
0.195122, 4.90913e-21
0.219512, 2.02503e-20
0.243902, 8.35328e-20
0.268293, 3.44573e-19
0.292683, 1.42136e-18
0.317073, 5.86313e-18
0.341463, 2.41854e-17
0.365854, 9.97648e-17
0.390244, 4.1153e-16
0.414634, 1.69756e-15
0.439024, 7.00243e-15
0.463415, 2.8885e-14
0.487805, 1.19151e-13
0.512195, 4.91497e-13
0.536585, 2.02743e-12
0.560976, 8.36313e-12
0.585366, 3.44979e-11
0.609756, 1.42304e-10
0.634146, 5.87004e-10
0.658537, 2.42139e-09
0.682927, 9.98823e-09
0.707317, 4.12015e-08
0.731707, 1.69956e-07
0.756098, 7.01069e-07
0.780488, 2.89191e-06
0.804878, 1.19291e-05
0.829268, 4.92076e-05
0.853659, 0.000202981
0.878049, 0.000837298
0.902439, 0.00345386
0.926829, 0.0142472
0.95122, 0.0587695
0.97561, 0.242424
1, 1
