No iterations: 20000
Time (s), Position 1 (m), Velocity 1 (m s-1), Acceleration 1 (m s-2), Position 2 (m), Velocity 2 (m s-1), Acceleration 2 (m s-2)
0, 1, -1,0,2, 1,0
0.0001, 0.9999, -1,0.00394693,2.0001, 1,-0.00394536
0.0002, 0.9998, -1,0.00789621,2.0002, 1,-0.00789699
0.0003, 0.9997, -0.999999,0.0118416,2.0003, 0.999999,-0.0118408
0.0004, 0.9996, -0.999998,0.0157932,2.0004, 0.999998,-0.015794
0.0005, 0.9995, -0.999996,0.0197386,2.0005, 0.999996,-0.0197378
0.0006, 0.9994, -0.999994,0.0236878,2.0006, 0.999994,-0.0236894
0.0007, 0.9993, -0.999992,0.0276348,2.0007, 0.999992,-0.0276348
0.0008, 0.9992, -0.999989,0.0315817,2.0008, 0.999989,-0.0315801
0.0009, 0.9991, -0.999986,0.035531,2.0009, 0.999986,-0.0355318
0.001, 0.999, -0.999982,0.0394763,2.001, 0.999982,-0.0394756
0.0011, 0.9989, -0.999978,0.043428,2.0011, 0.999978,-0.0434288
0.0012, 0.9988, -0.999974,0.0473733,2.0012, 0.999974,-0.0473725
0.0013, 0.9987, -0.999969,0.0513226,2.0013, 0.999969,-0.0513242
0.0014, 0.9986, -0.999964,0.0552695,2.0014, 0.999964,-0.0552695
0.0015, 0.9985, -0.999959,0.0592165,2.0015, 0.999959,-0.0592149
0.0016, 0.9984, -0.999953,0.0631658,2.0016, 0.999953,-0.0631665
0.0017, 0.9983, -0.999946,0.0671111,2.0017, 0.999946,-0.0671103
0.0018, 0.9982, -0.99994,0.0710604,2.0018, 0.99994,-0.071062
0.0019, 0.9981, -0.999932,0.0750073,2.0019, 0.999932,-0.0750073
0.002, 0.998, -0.999925,0.0789542,2.002, 0.999925,-0.0789527
0.0021, 0.9979, -0.999917,0.0829035,2.0021, 0.999917,-0.0829043
0.0022, 0.9978, -0.999909,0.0868489,2.0022, 0.999909,-0.0868481
0.0023, 0.9977, -0.9999,0.0907982,2.0023, 0.9999,-0.0907997
0.0024, 0.9976, -0.999891,0.0947451,2.0024, 0.999891,-0.0947451
0.0025, 0.9975, -0.999882,0.098692,2.0025, 0.999882,-0.0986905
0.0026, 0.9974, -0.999872,0.102641,2.0026, 0.999872,-0.102642
0.0027, 0.9973, -0.999861,0.106587,2.0027, 0.999861,-0.106586
0.0028, 0.9972, -0.999851,0.110536,2.0028, 0.999851,-0.110538
0.0029, 0.9971, -0.99984,0.114483,2.0029, 0.99984,-0.114483
0.003, 0.997, -0.999828,0.118427,2.003, 0.999828,-0.118427
0.0031, 0.9969, -0.999816,0.122377,2.0031, 0.999816,-0.122378
0.0032, 0.9968, -0.999804,0.126324,2.0032, 0.999804,-0.126324
0.0033, 0.9967, -0.999792,0.130268,2.0033, 0.999792,-0.130267
0.0034, 0.9966, -0.999779,0.13422,2.0034, 0.999779,-0.134221
0.0035, 0.9965, -0.999765,0.138164,2.0035, 0.999765,-0.138164
0.0036, 0.9964, -0.999751,0.142109,2.0036, 0.999751,-0.142108
0.0037, 0.9963, -0.999737,0.146061,2.0037, 0.999737,-0.146061
