No iterations: 40
Time (s), Position 1 (m), Velocity 1 (m s-1), Acceleration 1 (m s-2), Position 2 (m), Velocity 2 (m s-1), Acceleration 2 (m s-2)
0, 1, -1,0,2, 1,0
0.05, 0.950617, -0.95908,1.94957,2.04938, 0.95908,-1.94957
0.1, 0.905275, -0.823558,3.73958,2.09472, 0.823558,-3.73958
0.15, 0.868482, -0.605185,5.19214,2.13152, 0.605185,-5.19214
0.2, 0.843977, -0.324016,6.15952,2.15602, 0.324016,-6.15952
0.25, 0.834361, -0.00658059,6.53917,2.16564, 0.00658044,-6.53916
0.3, 0.840814, 0.316613,6.28441,2.15919, -0.316613,-6.28441
0.35, 0.862963, 0.614001,5.40999,2.13704, -0.614001,-5.40999
0.4, 0.898892, 0.856039,3.99157,2.10111, -0.856039,-3.99157
0.45, 0.945304, 1.01813,2.15933,2.0547, -1.01813,-2.15933
0.5, 0.99782, 1.0831,0.0860661,2.00218, -1.0831,-0.0860669
0.55, 1.0514, 1.04303,-2.02903,1.9486, -1.04303,2.02903
0.6, 1.1008, 0.900146,-3.97946,1.8992, -0.900146,3.97946
0.65, 1.14113, 0.666794,-5.57151,1.85887, -0.666794,5.57151
0.7, 1.16828, 0.364369,-6.64349,1.83172, -0.364369,6.64349
0.75, 1.17939, 0.021383,-7.08199,1.82061, -0.0213829,7.08199
0.8, 1.1731, -0.329223,-6.83388,1.8269, 0.329223,6.83388
0.85, 1.14976, -0.65323,-5.91239,1.85024, 0.65323,5.91239
0.9, 1.11138, -0.918472,-4.39694,1.88862, 0.918472,4.39694
0.95, 1.06146, -1.09802,-2.42639,1.93854, 1.09802,2.42639
1, 1.00472, -1.17291,-0.186431,1.99528, 1.17291,0.186431
1.05, 0.946607, -1.13412,2.10788,2.05339, 1.13412,-2.10788
1.1, 0.892785, -0.983622,4.23267,2.10721, 0.983622,-4.23267
1.15, 0.848598, -0.734349,5.97711,2.1514, 0.734349,-5.97711
1.2, 0.818529, -0.409131,7.16418,2.18147, 0.409131,-7.16418
1.25, 0.805751, -0.0385989,7.66865,2.19425, 0.0385989,-7.66865
1.3, 0.811793, 0.341683,7.4301,2.18821, -0.341683,-7.4301
1.35, 0.836368, 0.694623,6.45992,2.16363, -0.694623,-6.45992
1.4, 0.877367, 0.98521,4.84137,2.12263, -0.98521,-4.84137
1.45, 0.931038, 1.18398,2.72252,2.06896, -1.18398,-2.72252
1.5, 0.992328, 1.26997,0.302871,2.00767, -1.26997,-0.302872
1.55, 1.05536, 1.23296,-2.18543,1.94464, -1.23296,2.18543
1.6, 1.11398, 1.07459,-4.49974,1.88602, -1.07459,4.49974
1.65, 1.16238, 0.808402,-6.41059,1.83762, -0.808402,6.41059
1.7, 1.19566, 0.458747,-7.72431,1.80434, -0.458747,7.72431
1.75, 1.21031, 0.0585242,-8.30258,1.78969, -0.0585244,8.30258
1.8, 1.20459, -0.353878,-8.07693,1.79541, 0.353878,8.07693
1.85, 1.17874, -0.738262,-7.05651,1.82126, 0.738262,7.05651
1.9, 1.13497, -1.05652,-5.32847,1.86503, 1.05652,5.32847
1.95, 1.07727, -1.27643,-3.05065,1.92273, 1.27643,3.05065
2, 1.01108, -1.37485,-0.437337,1.98892, 1.37485,0.437337
