No iterations: 800
Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2), Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
0, 4, -2,0,8, 2,0
0.01, 3.98, -2,0.03,8.02, 2,-0.0300007
0.02, 3.96, -1.9997,0.0599999,8.04, 1.9997,-0.0599999
0.03, 3.94, -1.9991,0.0899956,8.06, 1.9991,-0.0899949
0.04, 3.92001, -1.9982,0.119982,8.07999, 1.9982,-0.119981
0.05, 3.90003, -1.997,0.149955,8.09997, 1.997,-0.149955
0.06, 3.88006, -1.9955,0.17991,8.11994, 1.9955,-0.17991
0.07, 3.8601, -1.9937,0.209842,8.1399, 1.9937,-0.209843
0.08, 3.84017, -1.9916,0.239748,8.15983, 1.9916,-0.239748
0.09, 3.82025, -1.98921,0.269622,8.17975, 1.98921,-0.269621
0.1, 3.80036, -1.98651,0.29946,8.19964, 1.98651,-0.29946
0.11, 3.78049, -1.98351,0.329258,8.21951, 1.98351,-0.329258
0.12, 3.76066, -1.98022,0.35901,8.23934, 1.98022,-0.359011
0.13, 3.74086, -1.97663,0.388714,8.25914, 1.97663,-0.388714
0.14, 3.72109, -1.97275,0.418363,8.27891, 1.97275,-0.418363
0.15, 3.70136, -1.96856,0.447955,8.29864, 1.96856,-0.447955
0.16, 3.68168, -1.96408,0.477483,8.31832, 1.96408,-0.477483
0.17, 3.66204, -1.95931,0.506944,8.33796, 1.95931,-0.506945
0.18, 3.64244, -1.95424,0.536334,8.35756, 1.95424,-0.536333
0.19, 3.6229, -1.94887,0.565647,8.3771, 1.94887,-0.565647
0.2, 3.60341, -1.94322,0.59488,8.39659, 1.94322,-0.594881
0.21, 3.58398, -1.93727,0.624029,8.41602, 1.93727,-0.624029
0.22, 3.56461, -1.93103,0.653088,8.43539, 1.93103,-0.653087
0.23, 3.5453, -1.9245,0.682053,8.4547, 1.9245,-0.682054
0.24, 3.52605, -1.91768,0.710921,8.47395, 1.91768,-0.710921
0.25, 3.50688, -1.91057,0.739686,8.49312, 1.91057,-0.739686
