No iterations: 800
Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2), Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
0, 4, -1,0,8, 1,0
0.01, 3.99, -1,0.0150002,8.01, 1,-0.0150003
0.02, 3.98, -0.99985,0.03,8.02, 0.99985,-0.0300007
0.03, 3.97, -0.99955,0.044998,8.03, 0.99955,-0.0449982
0.04, 3.96001, -0.9991,0.0599912,8.03999, 0.9991,-0.0599914
0.05, 3.95002, -0.9985,0.0749774,8.04998, 0.9985,-0.0749774
0.06, 3.94003, -0.99775,0.0899549,8.05997, 0.99775,-0.0899549
0.07, 3.93005, -0.996851,0.104921,8.06995, 0.996851,-0.104921
0.08, 3.92008, -0.995802,0.119874,8.07992, 0.995802,-0.119874
0.09, 3.91013, -0.994603,0.134811,8.08987, 0.994603,-0.134811
0.1, 3.90018, -0.993255,0.14973,8.09982, 0.993255,-0.14973
0.11, 3.89025, -0.991757,0.164629,8.10975, 0.991757,-0.164629
0.12, 3.88033, -0.990111,0.179505,8.11967, 0.990111,-0.179505
0.13, 3.87043, -0.988316,0.194357,8.12957, 0.988316,-0.194356
0.14, 3.86055, -0.986373,0.209182,8.13945, 0.986373,-0.209182
0.15, 3.85068, -0.984281,0.223977,8.14932, 0.984281,-0.223977
0.16, 3.84084, -0.982041,0.238742,8.15916, 0.982041,-0.238741
0.17, 3.83102, -0.979654,0.253472,8.16898, 0.979654,-0.253472
0.18, 3.82122, -0.977119,0.268167,8.17878, 0.977119,-0.268167
0.19, 3.81145, -0.974437,0.282824,8.18855, 0.974437,-0.282824
0.2, 3.80171, -0.971609,0.29744,8.19829, 0.971609,-0.297441
0.21, 3.79199, -0.968634,0.312014,8.20801, 0.968634,-0.312015
0.22, 3.7823, -0.965514,0.326544,8.2177, 0.965514,-0.326544
0.23, 3.77265, -0.962249,0.341027,8.22735, 0.962249,-0.341027
0.24, 3.76303, -0.958839,0.35546,8.23697, 0.958839,-0.355461
0.25, 3.75344, -0.955284,0.369843,8.24656, 0.955284,-0.369843
0.26, 3.74389, -0.951586,0.384172,8.25611, 0.951586,-0.384172
0.27, 3.73437, -0.947744,0.398446,8.26563, 0.947744,-0.398446
0.28, 3.72489, -0.943759,0.412662,8.27511, 0.943759,-0.412663
0.29, 3.71545, -0.939633,0.426819,8.28455, 0.939633,-0.426819
0.3, 3.70606, -0.935365,0.440913,8.29394, 0.935365,-0.440914
0.31, 3.6967, -0.930955,0.454943,8.3033, 0.930955,-0.454944
0.32, 3.68739, -0.926406,0.468908,8.31261, 0.926406,-0.468907
0.33, 3.67813, -0.921717,0.482804,8.32187, 0.921717,-0.482803
0.34, 3.66891, -0.916889,0.496629,8.33109, 0.916889,-0.496629
0.35, 3.65974, -0.911923,0.510383,8.34026, 0.911923,-0.510384
0.36, 3.65063, -0.906819,0.524062,8.34937, 0.906819,-0.524062
0.37, 3.64156, -0.901578,0.537664,8.35844, 0.901578,-0.537663
0.38, 3.63254, -0.896202,0.551188,8.36746, 0.896202,-0.551188
0.39, 3.62358, -0.89069,0.564631,8.37642, 0.89069,-0.564631
0.4, 3.61467, -0.885043,0.577991,8.38533, 0.885043,-0.577991
0.41, 3.60582, -0.879263,0.591267,8.39418, 0.879263,-0.591266
