Particle 1 position x_1 (cm), y_1 (cm), Particle 1 velocity v_x, v_y |  x_2,y_2,v_x,v_y ; ...
4.24202,1.85707,-308.019,201.131|4.38083,0.0467576,-215.444,118.378|0.124742,1.1389,-235.891,89.6259|0.275416,2.62812,-312.11,21.1125|0.2426,0.285696,-254.046,86.964|2.78602,2.11814,-154.452,125.09|1.47084,3.88845,-137.589,148.748|3.47359,0.708145,-221.722,208.513|0.830818,0.633385,-221.69,207.844|4.62592,4.53076,-296.528,206.511|4.79026,1.45114,-231.753,322.833|2.56007,0.172868,-237.766,193.729|2.13866,0.82432,-194.115,176.968|0.781645,1.20666,-194.163,278.36|4.14971,2.71095,-177.677,262.962|1.15403,3.50219,-137.137,280.851|1.75182,2.18895,-182.328,337.683|3.56663,0.658582,-159.875,372.8|1.58706,3.76944,-207.929,386.779|0.527351,0.332449,-258.973,426.601|
4.23894,1.85908,-307.924,201.332|4.37868,0.0479316,-214.616,117.399|0.122374,1.1398,-236.795,89.9438|0.272287,2.62833,-312.922,21.22|0.240055,0.286556,-254.553,86.0414|2.78447,2.1194,-154.343,125.537|1.46946,3.88995,-137.379,149.465|3.47137,0.71023,-221.776,208.517|0.828604,0.635458,-221.379,207.322|4.62295,4.53283,-296.491,206.65|4.78795,1.45436,-230.622,322.669|2.55769,0.174795,-238.168,192.711|2.13671,0.82609,-194.442,176.973|0.779705,1.20945,-193.982,278.705|4.14794,2.71359,-177.628,263.95|1.15266,3.505,-137.626,280.828|1.74999,2.19233,-182.37,337.739|3.56503,0.662309,-159.855,372.701|1.58498,3.77331,-207.364,387.182|0.524761,0.336706,-259.027,425.671|
4.23587,1.8611,-307.829,201.532|4.37654,0.0490958,-213.788,116.421|0.119997,1.1407,-237.699,90.2599|0.269149,2.62855,-313.732,21.3312|0.237504,0.287407,-255.06,85.1189|2.78293,2.12066,-154.236,125.984|1.46809,3.89145,-137.168,150.179|3.46915,0.712316,-221.829,208.518|0.826394,0.637526,-221.067,206.801|4.61999,4.5349,-296.455,206.79|4.78566,1.45759,-229.49,322.505|2.5553,0.176712,-238.569,191.692|2.13477,0.82786,-194.77,176.978|0.777767,1.21224,-193.801,279.049|4.14616,2.71624,-177.578,264.938|1.15128,3.5078,-138.116,280.803|1.74817,2.19571,-182.411,337.793|3.56343,0.666035,-159.835,372.602|1.58292,3.77718,-206.802,387.588|0.52217,0.340953,-259.082,424.745|
4.23279,1.86312,-307.735,201.733|4.37441,0.0502502,-212.961,115.443|0.117611,1.14161,-238.603,90.574|0.266004,2.62876,-314.54,21.4462|0.234949,0.288249,-255.565,84.1963|2.78139,2.12192,-154.131,126.432|1.46672,3.89296,-136.957,150.889|3.46693,0.714401,-221.882,208.518|0.824186,0.639589,-220.755,206.281|4.61703,4.53697,-296.418,206.93|4.78337,1.46081,-228.358,322.34|2.55291,0.178619,-238.969,190.674|2.13282,0.82963,-195.099,176.984|0.775831,1.21503,-193.62,279.393|4.14439,2.7189,-177.528,265.926|1.14989,3.51061,-138.607,280.778|1.74634,2.19909,-182.452,337.848|3.56184,0.66976,-159.814,372.505|1.58085,3.78106,-206.241,387.996|0.519579,0.345191,-259.137,423.823|
4.22971,1.86514,-307.641,201.933|4.37229,0.0513949,-212.134,114.465|0.115216,1.14252,-239.506,90.8863|0.26285,2.62898,-315.347,21.5649|0.232388,0.289082,-256.071,83.2736|2.77985,2.12319,-154.028,126.881|1.46535,3.89448,-136.746,151.595|3.46471,0.716486,-221.935,208.515|0.821982,0.641647,-220.443,205.762|4.61406,4.53904,-296.381,207.07|4.7811,1.46403,-227.224,322.175|2.55052,0.180515,-239.369,189.654|2.13086,0.8314,-195.429,176.99|0.773896,1.21783,-193.438,279.738|4.14261,2.72157,-177.477,266.913|1.1485,3.51342,-139.099,280.752|1.74452,2.20246,-182.493,337.901|3.56024,0.673484,-159.792,372.408|1.5788,3.78495,-205.682,388.406|0.516987,0.34942,-259.192,422.905|
4.22664,1.86716,-307.547,202.134|4.37018,0.0525297,-211.309,113.487|0.112812,1.14343,-240.408,91.1966|0.259689,2.62919,-316.151,21.6874|0.229822,0.289906,-256.576,82.3508|2.77831,2.12446,-153.927,127.33|1.46399,3.896,-136.534,152.299|3.46249,0.718571,-221.987,208.51|0.81978,0.643699,-220.13,205.243|4.6111,4.54111,-296.344,207.211|4.77884,1.46725,-226.091,322.01|2.54812,0.182402,-239.767,188.635|2.1289,0.83317,-195.76,176.997|0.771964,1.22063,-193.255,280.083|4.14084,2.72425,-177.426,267.901|1.1471,3.51623,-139.593,280.724|1.74269,2.20584,-182.533,337.954|3.55864,0.677207,-159.771,372.312|1.57675,3.78884,-205.126,388.819|0.514394,0.35364,-259.248,421.991|
4.22356,1.86918,-307.454,202.334|4.36807,0.0536548,-210.483,112.51|0.110399,1.14434,-241.31,91.5051|0.256519,2.62941,-316.953,21.8137|0.227251,0.29072,-257.08,81.4281|2.77677,2.12574,-153.827,127.779|1.46263,3.89753,-136.322,152.999|3.46027,0.720656,-222.04,208.504|0.817582,0.645746,-219.817,204.726|4.60813,4.54318,-296.308,207.352|4.77659,1.47047,-224.956,321.845|2.54572,0.184278,-240.165,187.615|2.12694,0.83494,-196.092,177.004|0.770033,1.22343,-193.072,280.427|4.13906,2.72694,-177.374,268.889|1.1457,3.51903,-140.087,280.696|1.74087,2.20922,-182.572,338.006|3.55704,0.680929,-159.749,372.217|1.5747,3.79273,-204.571,389.234|0.511801,0.357851,-259.303,421.082|
4.22049,1.87121,-307.361,202.534|4.36598,0.0547702,-209.659,111.533|0.107976,1.14526,-242.212,91.8116|0.253342,2.62963,-317.754,21.9438|0.224676,0.291525,-257.583,80.5052|2.77523,2.12702,-153.73,128.229|1.46126,3.89907,-136.11,153.695|3.45805,0.722741,-222.092,208.495|0.815387,0.647788,-219.504,204.209|4.60517,4.54526,-296.271,207.493|4.77435,1.47369,-223.821,321.68|2.54331,0.186144,-240.562,186.594|2.12498,0.83671,-196.425,177.012|0.768104,1.22624,-192.888,280.772|4.13729,2.72964,-177.322,269.877|1.1443,3.52184,-140.584,280.667|1.73904,2.2126,-182.612,338.058|3.55545,0.68465,-159.726,372.123|1.57266,3.79663,-204.018,389.651|0.509208,0.362053,-259.359,420.176|
4.21742,1.87323,-307.268,202.735|4.36389,0.0558757,-208.836,110.556|0.105545,1.14618,-243.113,92.1163|0.250156,2.62985,-318.552,22.0776|0.222095,0.292321,-258.086,79.5823|2.7737,2.12831,-153.634,128.679|1.45991,3.90061,-135.897,154.388|3.45583,0.724826,-222.145,208.485|0.813195,0.649825,-219.191,203.692|4.60221,4.54733,-296.234,207.635|4.77212,1.4769,-222.685,321.514|2.5409,0.188,-240.958,185.573|2.12301,0.83848,-196.758,177.02|0.766177,1.22905,-192.704,281.117|4.13552,2.73235,-177.27,270.865|1.14289,3.52465,-141.081,280.637|1.73722,2.21599,-182.651,338.109|3.55385,0.688371,-159.703,372.03|1.57063,3.80053,-203.467,390.071|0.506613,0.366246,-259.416,419.274|
4.21434,1.87526,-307.176,202.935|4.36181,0.0569715,-208.013,109.579|0.103105,1.14711,-244.014,92.4191|0.246963,2.63007,-319.348,22.2152|0.219509,0.293107,-258.589,78.6594|2.77216,2.1296,-153.54,129.13|1.45855,3.90216,-135.684,155.078|3.45361,0.72691,-222.197,208.472|0.811007,0.651857,-218.878,203.177|4.59925,4.54941,-296.197,207.778|4.76991,1.48012,-221.548,321.349|2.53849,0.189845,-241.354,184.552|2.12104,0.84025,-197.093,177.029|0.764252,1.23187,-192.519,281.461|4.13375,2.73507,-177.217,271.854|1.14147,3.52745,-141.58,280.606|1.73539,2.21937,-182.689,338.16|3.55225,0.69209,-159.68,371.938|1.5686,3.80443,-202.918,390.494|0.504019,0.370429,-259.472,418.377|
