No iterations: 800
Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2), Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
0, 2, 2,2.25,7, -1,0
0.01, 2.02, 2.0225,2.22,6.99, -1,0.0150003
0.02, 2.04022, 2.0447,2.18966,6.98, -0.99985,0.03
0.03, 2.06067, 2.0666,2.15899,6.97, -0.99955,0.0449975
0.04, 2.08134, 2.08819,2.12799,6.96001, -0.9991,0.0599906
0.05, 2.10222, 2.10947,2.09667,6.95002, -0.9985,0.0749774
0.06, 2.12331, 2.13043,2.06503,6.94003, -0.99775,0.0899549
0.07, 2.14462, 2.15108,2.03307,6.93005, -0.996851,0.104922
0.08, 2.16613, 2.17141,2.00081,6.92008, -0.995802,0.119874
0.09, 2.18784, 2.19142,1.96823,6.91013, -0.994603,0.134811
0.1, 2.20976, 2.2111,1.93536,6.90018, -0.993255,0.14973
0.11, 2.23187, 2.23046,1.9022,6.89025, -0.991757,0.164629
0.12, 2.25417, 2.24948,1.86874,6.88033, -0.990111,0.179506
0.13, 2.27667, 2.26817,1.835,6.87043, -0.988316,0.194357
0.14, 2.29935, 2.28652,1.80098,6.86055, -0.986373,0.209182
0.15, 2.32222, 2.30453,1.76668,6.85068, -0.984281,0.223977
0.16, 2.34526, 2.32219,1.73211,6.84084, -0.982041,0.238742
0.17, 2.36848, 2.33952,1.69728,6.83102, -0.979654,0.253472
0.18, 2.39188, 2.35649,1.66218,6.82122, -0.977119,0.268167
0.19, 2.41544, 2.37311,1.62684,6.81145, -0.974437,0.282824
0.2, 2.43917, 2.38938,1.59124,6.80171, -0.971609,0.297441
0.21, 2.46307, 2.40529,1.5554,6.79199, -0.968634,0.312015
0.22, 2.48712, 2.42084,1.51932,6.7823, -0.965514,0.326544
0.23, 2.51133, 2.43604,1.48301,6.77265, -0.962249,0.341027
0.24, 2.53569, 2.45087,1.44647,6.76303, -0.958839,0.355461
0.25, 2.5602, 2.46533,1.4097,6.75344, -0.955284,0.369843
0.26, 2.58485, 2.47943,1.37272,6.74389, -0.951586,0.384172
0.27, 2.60965, 2.49316,1.33553,6.73437, -0.947744,0.398446
0.28, 2.63458, 2.50651,1.29813,6.72489, -0.943759,0.412662
0.29, 2.65964, 2.51949,1.26054,6.71545, -0.939633,0.426819
0.3, 2.68484, 2.5321,1.22274,6.70606, -0.935365,0.440913
0.31, 2.71016, 2.54433,1.18476,6.6967, -0.930955,0.454943
0.32, 2.7356, 2.55617,1.1466,6.68739, -0.926406,0.468908
0.33, 2.76116, 2.56764,1.10826,6.67813, -0.921717,0.482804
0.34, 2.78684, 2.57872,1.06974,6.66891, -0.916889,0.49663
0.35, 2.81263, 2.58942,1.03106,6.65974, -0.911923,0.510383
0.36, 2.83852, 2.59973,0.992219,6.65063, -0.906819,0.524062
0.37, 2.86452, 2.60965,0.953223,6.64156, -0.901578,0.537664
0.38, 2.89061, 2.61918,0.914078,6.63254, -0.896202,0.551188
0.39, 2.91681, 2.62833,0.87479,6.62358, -0.89069,0.564631
0.4, 2.94309, 2.63707,0.835366,6.61467, -0.885043,0.577991
0.41, 2.96946, 2.64543,0.795809,6.60582, -0.879263,0.591267
0.42, 2.99591, 2.65339,0.756128,6.59703, -0.873351,0.604455
0.43, 3.02245, 2.66095,0.716327,6.5883, -0.867306,0.617556
0.44, 3.04906, 2.66811,0.676413,6.57962, -0.861131,0.630566
0.45, 3.07574, 2.67487,0.636391,6.57101, -0.854825,0.643483
0.46, 3.10249, 2.68124,0.596268,6.56246, -0.84839,0.656305
0.47, 3.1293, 2.6872,0.556049,6.55398, -0.841827,0.669031
0.48, 3.15617, 2.69276,0.515742,6.54556, -0.835137,0.681658
0.49, 3.1831, 2.69792,0.47535,6.53721, -0.82832,0.694185
0.5, 3.21008, 2.70267,0.434881,6.52893, -0.821378,0.70661
0.51, 3.23711, 2.70702,0.394341,6.52071, -0.814312,0.718931
0.52, 3.26418, 2.71096,0.353736,6.51257, -0.807123,0.731145
0.53, 3.29129, 2.7145,0.313071,6.5045, -0.799812,0.743252
0.54, 3.31843, 2.71763,0.272354,6.4965, -0.792379,0.755249
0.55, 3.34561, 2.72036,0.231589,6.48858, -0.784827,0.767135
0.56, 3.37281, 2.72267,0.190784,6.48073, -0.777155,0.778908
0.57, 3.40004, 2.72458,0.149944,6.47296, -0.769366,0.790565
0.58, 3.42728, 2.72608,0.109075,6.46526, -0.76146,0.802105
0.59, 3.45454, 2.72717,0.0681843,6.45765, -0.753439,0.813527
0.6, 3.48182, 2.72785,0.0272766,6.45011, -0.745304,0.824829
0.61, 3.50909, 2.72812,-0.013641,6.44266, -0.737056,0.836008
0.62, 3.53638, 2.72799,-0.0545629,6.43529, -0.728696,0.847064
0.63, 3.56366, 2.72744,-0.0954827,6.428, -0.720225,0.857994
0.64, 3.59093, 2.72649,-0.136394,6.4208, -0.711645,0.868798
0.65, 3.61819, 2.72512,-0.177292,6.41368, -0.702957,0.879473
0.66, 3.64545, 2.72335,-0.218169,6.40666, -0.694162,0.890017
0.67, 3.67268, 2.72117,-0.259019,6.39971, -0.685262,0.90043
0.68, 3.69989, 2.71858,-0.299836,6.39286, -0.676258,0.910709
0.69, 3.72708, 2.71558,-0.340615,6.3861, -0.667151,0.920852
0.7, 3.75423, 2.71217,-0.381349,6.37943, -0.657942,0.93086
0.71, 3.78135, 2.70836,-0.422031,6.37285, -0.648634,0.940729
0.72, 3.80844, 2.70414,-0.462657,6.36636, -0.639226,0.950458
0.73, 3.83548, 2.69951,-0.503219,6.35997, -0.629722,0.960046
0.74, 3.86247, 2.69448,-0.543712,6.35367, -0.620121,0.969493
0.75, 3.88942, 2.68904,-0.584129,6.34747, -0.610427,0.978795
0.76, 3.91631, 2.6832,-0.624464,6.34137, -0.600639,0.987951
0.77, 3.94314, 2.67696,-0.664713,6.33536, -0.590759,0.99696
0.78, 3.96991, 2.67031,-0.704867,6.32945, -0.580789,1.00582
0.79, 3.99661, 2.66326,-0.744922,6.32364, -0.570731,1.01453
0.8, 4.02325, 2.65581,-0.78487,6.31794, -0.560586,1.02309
0.81, 4.04981, 2.64796,-0.824708,6.31233, -0.550355,1.0315
0.82, 4.07628, 2.63972,-0.864427,6.30683, -0.54004,1.03976
