No iterations: 900
Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2), Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
0, 2, 2,1.8,7, -1,6
0.01, 2.02, 2.018,1.776,2.02, 2.06,5.976
0.02, 2.04018, 2.03576,1.75178,2.0406, 2.11976,5.95128
0.03, 2.06054, 2.05328,1.72736,2.0618, 2.17927,5.92584
0.04, 2.08107, 2.07055,1.70272,2.08359, 2.23853,5.89969
0.05, 2.10178, 2.08758,1.67787,2.10598, 2.29753,5.87283
0.06, 2.12265, 2.10436,1.65282,2.12895, 2.35626,5.84526
0.07, 2.1437, 2.12089,1.62757,2.15251, 2.41471,5.81698
0.08, 2.1649, 2.13716,1.60212,2.17666, 2.47288,5.78801
0.09, 2.18628, 2.15318,1.57647,2.20139, 2.53076,5.75833
0.1, 2.20781, 2.16895,1.55063,2.2267, 2.58834,5.72796
0.11, 2.2295, 2.18445,1.5246,2.25258, 2.64562,5.6969
0.12, 2.25134, 2.1997,1.49839,2.27904, 2.70259,5.66516
0.13, 2.27334, 2.21468,1.47199,2.30606, 2.75924,5.63273
0.14, 2.29549, 2.2294,1.44542,2.33365, 2.81557,5.59961
0.15, 2.31778, 2.24386,1.41866,2.36181, 2.87157,5.56583
0.16, 2.34022, 2.25804,1.39174,2.39053, 2.92722,5.53137
0.17, 2.3628, 2.27196,1.36464,2.4198, 2.98254,5.49624
0.18, 2.38552, 2.28561,1.33738,2.44962, 3.0375,5.46045
0.19, 2.40837, 2.29898,1.30995,2.48, 3.0921,5.424
0.2, 2.43136, 2.31208,1.28236,2.51092, 3.14634,5.3869
0.21, 2.45448, 2.3249,1.25462,2.54238, 3.20021,5.34914
0.22, 2.47773, 2.33745,1.22672,2.57439, 3.25371,5.31074
0.23, 2.50111, 2.34972,1.19867,2.60692, 3.30681,5.27169
0.24, 2.52461, 2.3617,1.17047,2.63999, 3.35953,5.23201
0.25, 2.54822, 2.37341,1.14213,2.67359, 3.41185,5.1917
0.26, 2.57196, 2.38483,1.11365,2.7077, 3.46377,5.15075
0.27, 2.5958, 2.39597,1.08503,2.74234, 3.51527,5.10919
0.28, 2.61976, 2.40682,1.05628,2.77749, 3.56637,5.06701
0.29, 2.64383, 2.41738,1.0274,2.81316, 3.61704,5.02421
0.3, 2.66801, 2.42765,0.998392,2.84933, 3.66728,4.98081
0.31, 2.69228, 2.43764,0.96926,2.886, 3.71709,4.9368
0.32, 2.71666, 2.44733,0.940009,2.92317, 3.76645,4.89219
0.33, 2.74113, 2.45673,0.910641,2.96084, 3.81538,4.847
0.34, 2.7657, 2.46584,0.88116,2.99899, 3.86385,4.80121
0.35, 2.79036, 2.47465,0.85157,3.03763, 3.91186,4.75485
0.36, 2.8151, 2.48316,0.821874,3.07675, 3.95941,4.7079
0.37, 2.83994, 2.49138,0.792076,3.11634, 4.00649,4.66039
0.38, 2.86485, 2.4993,0.762179,3.15641, 4.05309,4.61231
0.39, 2.88984, 2.50693,0.732188,3.19694, 4.09921,4.56367
0.4, 2.91491, 2.51425,0.702105,3.23793, 4.14485,4.51448
0.41, 2.94006, 2.52127,0.671934,3.27938, 4.18999,4.46475
0.42, 2.96527, 2.52799,0.641678,3.32128, 4.23464,4.41447
0.43, 2.99055, 2.53441,0.611342,3.36362, 4.27879,4.36365
0.44, 3.01589, 2.54052,0.58093,3.40641, 4.32242,4.31231
0.45, 3.0413, 2.54633,0.550444,3.44964, 4.36555,4.26044
0.46, 3.06676, 2.55183,0.519888,3.49329, 4.40815,4.20805
0.47, 3.09228, 2.55703,0.489266,3.53737, 4.45023,4.15515
0.48, 3.11785, 2.56192,0.458581,3.58188, 4.49178,4.10175
0.49, 3.14347, 2.56651,0.427838,3.62679, 4.5328,4.04785
0.5, 3.16913, 2.57079,0.39704,3.67212, 4.57328,3.99345
0.51, 3.19484, 2.57476,0.366191,3.71785, 4.61321,3.93857
0.52, 3.22059, 2.57842,0.335294,3.76399, 4.6526,3.88322
0.53, 3.24637, 2.58177,0.304352,3.81051, 4.69143,3.82738
0.54, 3.27219, 2.58482,0.273371,3.85743, 4.7297,3.77109
0.55, 3.29804, 2.58755,0.242353,3.90472, 4.76742,3.71433
0.56, 3.32391, 2.58997,0.211303,3.9524, 4.80456,3.65712
0.57, 3.34981, 2.59209,0.180223,4.00044, 4.84113,3.59947
0.58, 3.37573, 2.59389,0.149118,4.04886, 4.87712,3.54137
0.59, 3.40167, 2.59538,0.117991,4.09763, 4.91254,3.48285
0.6, 3.42763, 2.59656,0.0868469,4.14675, 4.94737,3.4239
0.61, 3.45359, 2.59743,0.0556881,4.19623, 4.98161,3.36453
0.62, 3.47957, 2.59799,0.024519,4.24604, 5.01525,3.30475
0.63, 3.50555, 2.59823,-0.00665702,4.29619, 5.0483,3.24457
0.64, 3.53153, 2.59816,-0.0378356,4.34668, 5.08074,3.18399
0.65, 3.55751, 2.59779,-0.0690136,4.39748, 5.11258,3.12302
0.66, 3.58349, 2.5971,-0.100187,4.44861, 5.14381,3.06167
0.67, 3.60946, 2.59609,-0.131352,4.50005, 5.17443,2.99994
0.68, 3.63542, 2.59478,-0.162505,4.55179, 5.20443,2.93785
0.69, 3.66137, 2.59316,-0.193643,4.60384, 5.23381,2.8754
0.7, 3.6873, 2.59122,-0.224761,4.65618, 5.26256,2.81259
0.71, 3.71321, 2.58897,-0.255855,4.7088, 5.29069,2.74944
0.72, 3.7391, 2.58641,-0.286923,4.76171, 5.31818,2.68595
0.73, 3.76497, 2.58354,-0.31796,4.81489, 5.34504,2.62213
0.74, 3.7908, 2.58036,-0.348962,4.86834, 5.37126,2.55799
0.75, 3.81661, 2.57687,-0.379927,4.92205, 5.39684,2.49354
0.76, 3.84237, 2.57308,-0.410849,4.97602, 5.42178,2.42878
0.77, 3.86811, 2.56897,-0.441726,5.03024, 5.44607,2.36371
0.78, 3.89379, 2.56455,-0.472554,5.0847, 5.4697,2.29836
0.79, 3.91944, 2.55982,-0.503328,5.1394, 5.49269,2.23272
0.8, 3.94504, 2.55479,-0.534046,5.19432, 5.51502,2.16681
0.81, 3.97059, 2.54945,-0.564704,5.24947, 5.53668,2.10063
0.82, 3.99608, 2.5438,-0.595297,5.30484, 5.55769,2.03419
0.83, 4.02152, 2.53785,-0.625822,5.36042, 5.57803,1.9675
0.84, 4.0469, 2.53159,-0.656277,5.4162, 5.59771,1.90056
0.85, 4.07221, 2.52503,-0.686656,5.47217, 5.61671,1.83339
0.86, 4.09746, 2.51816,-0.716956,5.52834, 5.63505,1.76599
0.87, 4.12265, 2.51099,-0.747175,5.58469, 5.65271,1.69837
0.88, 4.14776, 2.50352,-0.777306,5.64122, 5.66969,1.63054
0.89, 4.17279, 2.49575,-0.807349,5.69792, 5.68599,1.5625
0.9, 4.19775, 2.48767,-0.837297,5.75478, 5.70162,1.49427
0.91, 4.22262, 2.4793,-0.86715,5.81179, 5.71656,1.42585
0.92, 4.24742, 2.47063,-0.896901,5.86896, 5.73082,1.35725
0.93, 4.27212, 2.46166,-0.926549,5.92627, 5.74439,1.28848
0.94, 4.29674, 2.4524,-0.956089,5.98371, 5.75728,1.21955
0.95, 4.32126, 2.44283,-0.985517,6.04128, 5.76947,1.15046
0.96, 4.34569, 2.43298,-1.01483,6.09898, 5.78098,1.08123
0.97, 4.37002, 2.42283,-1.04403,6.15679, 5.79179,1.01186
0.98, 4.39425, 2.41239,-1.0731,6.21471, 5.80191,0.942353
0.99, 4.41837, 2.40166,-1.10205,6.27272, 5.81133,0.872731
1, 4.44239, 2.39064,-1.13087,6.33084, 5.82006,0.802995
1.01, 4.4663, 2.37933,-1.15956,6.38904, 5.82809,0.733154
1.02, 4.49009, 2.36774,-1.18811,6.44732, 5.83542,0.663217
1.03, 4.51377, 2.35585,-1.21652,6.50567, 5.84205,0.593192
1.04, 4.53733, 2.34369,-1.24479,6.56409, 5.84799,0.523087
1.05, 4.56076, 2.33124,-1.27292,6.62257, 5.85322,0.452911
1.06, 4.58408, 2.31851,-1.30089,6.68111, 5.85775,0.382673
1.07, 4.60726, 2.3055,-1.32871,6.73968, 5.86157,0.31238
1.08, 4.63032, 2.29222,-1.35638,6.7983, 5.8647,0.242041
1.09, 4.65324, 2.27865,-1.38389,6.85695, 5.86712,0.171665
