No iterations: 200
Time (s), Position 1 (m), Velocity 1 (m s-1), Acceleration 1 (m s-2), Position 2 (m), Velocity 2 (m s-1), Acceleration 2 (m s-2)
0, 1, -1,0,2, 1,0
0.01, 0.99, -1,0.394784,2.01, 1,-0.394784
0.02, 0.98, -0.996052,0.789568,2.02, 0.996052,-0.789568
0.03, 0.970039, -0.988156,1.1828,2.02996, 0.988156,-1.1828
0.04, 0.960158, -0.976329,1.5729,2.03984, 0.976329,-1.5729
0.05, 0.950395, -0.9606,1.95834,2.04961, 0.960599,-1.95834
0.06, 0.940789, -0.941016,2.33757,2.05921, 0.941016,-2.33757
0.07, 0.931378, -0.91764,2.70907,2.06862, 0.91764,-2.70907
0.08, 0.922202, -0.89055,3.07134,2.0778, 0.89055,-3.07134
0.09, 0.913297, -0.859836,3.42292,2.0867, 0.859836,-3.42292
0.1, 0.904698, -0.825607,3.76237,2.0953, 0.825607,-3.76237
0.11, 0.896442, -0.787983,4.0883,2.10356, 0.787983,-4.0883
0.12, 0.888562, -0.7471,4.39938,2.11144, 0.7471,-4.39939
0.13, 0.881091, -0.703107,4.69433,2.11891, 0.703107,-4.69432
0.14, 0.87406, -0.656163,4.9719,2.12594, 0.656163,-4.97191
0.15, 0.867499, -0.606444,5.23095,2.1325, 0.606444,-5.23094
0.16, 0.861434, -0.554135,5.47036,2.13857, 0.554135,-5.47036
0.17, 0.855893, -0.499431,5.68912,2.14411, 0.499431,-5.68912
0.18, 0.850898, -0.44254,5.88629,2.1491, 0.44254,-5.88629
0.19, 0.846473, -0.383677,6.061,2.15353, 0.383677,-6.061
0.2, 0.842636, -0.323067,6.21247,2.15736, 0.323067,-6.21247
0.21, 0.839406, -0.260943,6.34001,2.16059, 0.260943,-6.34001
0.22, 0.836796, -0.197542,6.44303,2.1632, 0.197542,-6.44302
0.23, 0.834821, -0.133112,6.52101,2.16518, 0.133112,-6.52102
0.24, 0.83349, -0.067902,6.57357,2.16651, 0.067902,-6.57357
0.25, 0.832811, -0.00216638,6.60037,2.16719, 0.00216635,-6.60037
0.26, 0.832789, 0.0638373,6.60123,2.16721, -0.0638374,-6.60123
0.27, 0.833427, 0.12985,6.57602,2.16657, -0.12985,-6.57602
0.28, 0.834726, 0.19561,6.52476,2.16527, -0.19561,-6.52476
0.29, 0.836682, 0.260857,6.44754,2.16332, -0.260857,-6.44753
0.3, 0.839291, 0.325333,6.34455,2.16071, -0.325333,-6.34455
0.31, 0.842544, 0.388778,6.21612,2.15746, -0.388778,-6.21612
0.32, 0.846432, 0.45094,6.06263,2.15357, -0.45094,-6.06263
0.33, 0.850941, 0.511566,5.88461,2.14906, -0.511566,-5.88461
0.34, 0.856057, 0.570412,5.68265,2.14394, -0.570412,-5.68265
0.35, 0.861761, 0.627239,5.45746,2.13824, -0.627239,-5.45746
0.36, 0.868033, 0.681813,5.20984,2.13197, -0.681813,-5.20984
0.37, 0.874851, 0.733912,4.94067,2.12515, -0.733912,-4.94067
0.38, 0.88219, 0.783318,4.65093,2.11781, -0.783318,-4.65093
0.39, 0.890024, 0.829828,4.34169,2.10998, -0.829828,-4.34169
0.4, 0.898322, 0.873245,4.01409,2.10168, -0.873245,-4.01409
0.41, 0.907054, 0.913385,3.66934,2.09295, -0.913385,-3.66934
