No iterations: 3999
Time (s), Position 1 (m), Velocity 1 (m s-1), Acceleration 1 (m s-2), Position 2 (m), Velocity 2 (m s-1), Acceleration 2 (m s-2)
0, 1, -1,0,2, 1,0
0.0005, 0.9995, -0.999996,0.0197386,2.0005, 0.999996,-0.0197378
0.001, 0.999, -0.999982,0.0394763,2.001, 0.999982,-0.0394756
0.0015, 0.9985, -0.999958,0.0592165,2.0015, 0.999958,-0.0592149
0.002, 0.998, -0.999924,0.0789542,2.002, 0.999924,-0.0789527
0.0025, 0.9975, -0.999881,0.0986897,2.0025, 0.999881,-0.0986889
0.003, 0.997, -0.999827,0.118427,2.003, 0.999827,-0.118427
0.0035, 0.9965, -0.999764,0.138164,2.0035, 0.999764,-0.138164
0.004, 0.996, -0.999691,0.157899,2.004, 0.999691,-0.157901
0.0045, 0.995501, -0.999608,0.177631,2.0045, 0.999608,-0.177631
0.005, 0.995001, -0.999515,0.19736,2.005, 0.999515,-0.197359
0.0055, 0.994501, -0.999412,0.217088,2.0055, 0.999412,-0.217087
0.006, 0.994001, -0.999299,0.236816,2.006, 0.999299,-0.236816
0.0065, 0.993502, -0.999177,0.256543,2.0065, 0.999177,-0.256544
0.007, 0.993002, -0.999044,0.276263,2.007, 0.999044,-0.276263
0.0075, 0.992503, -0.998902,0.295982,2.0075, 0.998902,-0.295982
0.008, 0.992003, -0.99875,0.3157,2.008, 0.99875,-0.315701
0.0085, 0.991504, -0.998588,0.33541,2.0085, 0.998588,-0.33541
0.009, 0.991005, -0.998416,0.355121,2.009, 0.998416,-0.35512
0.0095, 0.990505, -0.998235,0.374829,2.00949, 0.998235,-0.37483
0.01, 0.990006, -0.998043,0.39453,2.00999, 0.998043,-0.39453
0.0105, 0.989507, -0.997842,0.41423,2.01049, 0.997842,-0.41423
0.011, 0.989009, -0.997631,0.433924,2.01099, 0.997631,-0.433922
0.0115, 0.98851, -0.997409,0.453614,2.01149, 0.997409,-0.453613
0.012, 0.988011, -0.997179,0.473302,2.01199, 0.997179,-0.473302
0.0125, 0.987513, -0.996938,0.492983,2.01249, 0.996938,-0.492983
0.013, 0.987014, -0.996687,0.512658,2.01299, 0.996687,-0.512657
0.0135, 0.986516, -0.996427,0.53233,2.01348, 0.996427,-0.532329
0.014, 0.986018, -0.996157,0.551999,2.01398, 0.996157,-0.551999
0.0145, 0.98552, -0.995876,0.571661,2.01448, 0.995876,-0.571661
0.015, 0.985022, -0.995587,0.591314,2.01498, 0.995587,-0.591314
0.0155, 0.984524, -0.995287,0.610964,2.01548, 0.995287,-0.610966
0.016, 0.984027, -0.994977,0.630608,2.01597, 0.994977,-0.63061
